Ngành,Today,1W,1M,6M,YTD,1Y,5Y,10Y
Năng lượng,0.59%,-3.33%,-1.50%,-2.33%,-8.07%,20.98%,897.71%,285.11%
Nguyên vật liệu,-0.71%,-0.48%,7.07%,13.24%,10.55%,17.51%,287.99%,554.80%
Công nghiệp,0.29%,0.56%,-1.24%,24.29%,3.68%,78.70%,549.19%,"2,596.12%"
Tiêu dùng không thiết yếu,-0.35%,0.98%,6.09%,3.77%,7.98%,28.99%,173.63%,308.63%
Tiêu dùng thiết yếu,0.18%,-1.00%,-0.11%,13.26%,-3.39%,33.38%,165.69%,361.33%
Chăm sóc sức khỏe,0.38%,0.31%,0.59%,6.11%,2.41%,28.20%,177.70%,435.39%
Tài chính,0.47%,2.71%,5.42%,14.68%,8.81%,16.52%,179.76%,426.99%
Công nghệ thông tin,-0.66%,-2.46%,-5.96%,4.81%,-10.44%,43.41%,505.98%,"1,354.64%"
Dịch vụ viễn thông,-0.22%,-2.68%,-2.53%,23.30%,-9.35%,161.36%,"1,174.31%","5,566.96%"
Dịch vụ tiện ích,0.43%,-0.60%,1.22%,-4.25%,1.39%,0.25%,166.18%,271.43%
Bất động sản,1.43%,6.48%,14.12%,9.48%,11.49%,7.26%,22.99%,223.96%
Năng lượng,0.59%,-3.33%,-1.50%,-2.33%,-8.07%,20.98%,897.71%,285.11%
Nguyên vật liệu,-0.71%,-0.48%,7.07%,13.24%,10.55%,17.51%,287.99%,554.80%
Tư liệu sản xuất,-0.05%,0.03%,5.30%,21.70%,10.19%,31.69%,284.87%,800.06%
Dịch vụ chuyên biệt và thương mại,-0.31%,1.38%,15.27%,5.19%,14.73%,93.71%,"2,222.23%","6,769.02%"
Vận tải,0.44%,0.71%,-4.30%,26.89%,0.89%,101.13%,650.74%,"3,153.48%"
Xe và linh kiện,0.39%,-2.53%,-1.27%,-0.48%,0.76%,-12.19%,-14.52%,-39.01%
Hàng tiêu dùng và trang trí,0.85%,2.59%,11.99%,26.34%,18.39%,46.76%,248.75%,752.30%
Dịch vụ tiêu dùng,0.07%,-0.72%,0.89%,17.44%,0.86%,7.70%,27.90%,32.96%
Phân phối và bán lẻ hàng lâu bền,-0.85%,0.50%,4.27%,-3.55%,4.74%,25.09%,170.30%,269.10%
"Thực phẩm, đồ uống và thuốc lá",0.18%,-0.99%,-0.10%,13.84%,-3.34%,34.09%,166.81%,361.92%
Đồ gia dụng và cá nhân,-0.03%,0.03%,0.20%,-3.22%,1.45%,10.49%,136.18%,564.02%
