No,Date,StockID,Foreign Room,Foreign Ownership %,Remaining Room Volume,Remaining Room %,Matched Buy Volume,Matched Buy %,Matched Sell Volume,Matched Sell %,Matched Buy Value,Matched Buy Value %,Matched Sell Value,Matched Sell Value %,Net Volume,Net Value,Exchange
1,12/03/2025,AAA,"382,274,496",2.27,"373,619,234",97.74,"21,900",1.28,"236,300",13.76,192,1.27,"2,084",13.76,"-214,400","-1,891",HOSE
2,12/03/2025,AAM,"6,049,741",0.96,"5,931,664",48.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0,HOSE
3,12/03/2025,AAT,"35,409,551",0.82,"34,830,018",49.18,0,0.0,"6,700",14.57,0,0.0,21,14.59,"-6,700",-21,HOSE
4,12/03/2025,ABR,"9,800,000",48.41,"119,000",0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,HOSE
5,12/03/2025,ABS,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,HOSE
6,12/03/2025,ABT,"7,193,603",2.2,"6,876,828",47.8,200,2.74,100,1.37,10,2.73,5,1.37,100,5,HOSE
7,12/03/2025,ACB,"1,339,997,373",30.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,HOSE
8,12/03/2025,ACC,0,7.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,HOSE
9,12/03/2025,ACG,"75,393,973",38.55,"17,263,407",11.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0,HOSE
10,12/03/2025,ACL,"19,832,876",2.25,"18,703,317",37.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0,HOSE
11,12/03/2025,ADG,"13,897,338",46.09,"4,043,100",18.91,0,0.0,"5,300",79.1,0,0.0,53,78.64,"-5,300",-53,HOSE
12,12/03/2025,ADP,"23,039,850",0.85,"22,844,410",99.15,0,0.0,0,0.0,0,0.0,0,0.0,0,0,HOSE
13,12/03/2025,ADS,"38,197,363",0.14,"38,091,732",49.86,"3,600",5.33,100,0.15,33,5.31,1,0.15,"3,500",32,HOSE
