Indicator,StockID,Q1_2010,Q1_2011,Q1_2012,Q1_2013,Q1_2014,Q1_2015,Q1_2016,Q1_2017,Q1_2018,Q1_2019,Q1_2020,Q1_2021,Q1_2022,Q1_2023,Q1_2024,Q2_2010,Q2_2011,Q2_2012,Q2_2013,Q2_2014,Q2_2015,Q2_2016,Q2_2017,Q2_2018,Q2_2019,Q2_2020,Q2_2021,Q2_2022,Q2_2023,Q2_2024,Q3_2009,Q3_2010,Q3_2011,Q3_2012,Q3_2013,Q3_2014,Q3_2015,Q3_2016,Q3_2017,Q3_2018,Q3_2019,Q3_2020,Q3_2021,Q3_2022,Q3_2023,Q3_2024,Q4_2010,Q4_2011,Q4_2012,Q4_2013,Q4_2014,Q4_2015,Q4_2016,Q4_2017,Q4_2018,Q4_2019,Q4_2020,Q4_2021,Q4_2022,Q4_2023,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
BVPS cơ bản,CMG,"10,836.00","10,943.00","8,620.00","8,425.00","8,880.00","14,863.00","16,649.00","14,079.00","19,264.00","19,183.00","22,936.00","23,863.00","25,832.00","21,056.00","18,106.00","10,765.00","10,974.00","8,910.00","8,527.00","9,338.00","15,339.00","16,271.00","14,124.00","19,411.00","31,019.00","23,578.00","24,812.00","27,175.00","21,514.00","18,091.00","10,907.00","11,353.00","10,276.00","9,040.00","8,960.00","9,899.00","16,124.00","17,352.00","19,163.00","20,351.00","22,632.00","23,452.00","25,904.00","28,217.00","21,740.00","18,833.00","11,353.00","8,979.00","8,774.00","8,812.00","10,178.00","16,460.00","17,810.00","18,822.00","19,231.00","22,735.00","23,989.00","26,615.00","20,818.00","17,585.00","12,835.00","19,381.00","10,571.00","12,017.00","10,859.00","8,671.00","8,583.00","8,867.00","10,084.00","16,568.00","17,649.00","18,540.00","18,910.00","22,524.00","23,230.00","26,899.00","20,736.00","17,598.00"
Doanh thu thuần,CMG,"1,610,336","821,419","530,816","559,843","635,239","756,779","987,307","1,040,356","1,202,209","1,106,869","1,058,028","1,300,869","1,709,273","1,771,468","1,793,444","922,414","718,998","751,085","687,825","803,020","885,136","1,168,215","1,354,581","1,256,553","1,193,295","1,245,704","1,373,350","1,835,257","1,789,573","2,184,512","867,182","977,300","685,556","806,244","825,069","842,396","1,075,364","1,163,880","1,417,214","1,452,397","1,486,753","1,545,943","1,838,288","2,302,108","2,116,747","2,303,163","977,300","690,110","767,773","836,462","936,024","970,102","1,070,106","1,045,576","1,323,755","1,214,089","1,369,723","1,781,221","1,831,021","1,649,042",,"1,108,066","2,001,186","3,408,605","3,670,427","2,780,068","2,531,407","2,858,615","3,264,707","3,693,813","4,384,363","4,869,842","5,185,715","4,855,806","5,181,109","6,290,385","7,663,640","7,341,773"
EPS 4 quý,CMG,286.00,"1,239.00",-919.00,288.00,607.00,"1,641.00","1,741.00","1,938.00","2,651.00","1,865.00","1,938.00","2,000.00","2,938.00","2,608.00","2,016.00",392.00,"1,175.00",-642.00,87.00,"1,000.00","1,661.00","1,768.00","2,447.00","2,315.00","1,854.00","1,776.00","2,284.00","3,025.00","2,246.00","1,861.00",114.00,793.00,723.00,-615.00,412.00,"1,193.00","1,713.00","1,765.00","2,567.00","2,251.00","2,015.00","1,749.00","2,549.00","3,085.00","2,210.00","1,737.00","1,309.00",-774.00,329.00,332.00,"1,584.00","1,664.00","1,849.00","2,484.00","2,329.00","1,851.00","1,843.00","2,610.00","2,818.00","2,145.00",0,"2,136.00","1,379.00","1,941.00",573.00,"-1,577.00",149.00,254.00,"1,646.00","1,623.00","2,366.00","2,018.00","2,339.00","1,749.00",657.00,"2,415.00","2,680.00","2,218.00"
LN thuần từ HĐKD,CMG,"41,056","10,988",-989,"-7,265","9,325","18,194","32,775","36,027","51,118","27,324","48,267","72,017","105,898","108,649","114,375","20,174",-192,"11,400","8,636","31,302","42,355","47,591","93,073","69,802","77,793","83,728","114,370","116,603","89,263","88,704","16,260","44,248","6,949","5,174","34,063","43,877","58,244","60,425","64,556","68,151","95,226","98,987","132,106","132,333","168,928","178,469","44,248","-63,413","7,211","-7,897","24,131","32,630","36,576","36,712","54,103","50,606","66,017","72,973","79,110","74,525",,"88,263","111,408","152,106","58,232","-92,063","10,864","31,995","121,508","150,334","176,071","203,133","247,195","247,075","285,996","397,489","401,311","455,908"
LNST của CĐ cty mẹ,CMG,"28,845","6,438","-3,670","-6,373","11,796","15,524","20,619","26,514","38,204","8,591","28,354","44,089","79,902","83,918","83,226","6,705","2,632","20,031","6,482","32,436","33,792","35,587","69,334","47,599","48,975","46,744","75,138","90,658","67,951","61,051","7,274","32,726","4,046","5,186","26,879","39,697","43,142","42,934","50,864","47,235","67,003","71,845","98,336","111,603","130,078","126,571","32,726","-62,690",548,"-4,893","21,026","17,781","23,346","18,062","25,796","27,912","37,311","43,431","44,385","43,479",,"72,608","87,587","123,307","36,344","-101,023","10,051","16,894","109,036","107,516","156,707","133,844","159,483","144,047","65,722","241,532","310,517","336,519"
LNST thu nhập DN,CMG,"28,625","5,869","-3,397","-6,714","12,224","19,414","28,244","34,546","48,578","21,538","42,759","62,437","91,942","96,717","97,266","6,186","2,208","16,064","6,482","33,848","41,491","41,697","84,479","60,181","67,856","65,485","96,232","103,624","80,935","77,741","6,129","32,726","3,335","5,723","30,351","42,719","53,432","53,555","61,507","62,272","83,132","88,069","119,101","124,762","153,238","151,039","32,726","-63,511","4,089","-1,676","23,434","26,012","32,214","30,016","42,521","44,413","53,623","61,488","52,220","60,432",,"72,353","86,938","122,853","34,677","-104,064","9,785","23,374","117,826","136,727","156,707","179,987","214,252","208,570","241,145","317,712","355,089","401,878"
Lợi nhuận gộp,CMG,"192,552","94,312","56,144","78,604","93,940","94,942","127,978","140,149","192,730","190,273","193,761","234,891","321,997","304,651","339,483","117,559","87,106","104,960","97,774","112,917","131,471","146,309","222,639","196,743","250,038","225,568","271,879","361,523","308,421","327,944","86,826","125,005","74,498","94,610","116,389","142,456","158,369","158,195","217,897","228,763","289,428","302,764","342,948","399,713","406,663","446,011","125,005","28,282","117,262","109,942","123,625","136,197","158,495","190,302","243,583","243,952","256,318","331,594","372,627","332,865",,"190,090","318,745","419,358","409,131","262,402","341,329","430,280","555,550","527,307","591,682","753,419","841,111","899,438","905,904","1,183,740","1,440,837","1,374,599"
Lợi ích của CĐ thiểu số,CMG,"6,135","4,036","6,395","43,464","50,334",,,"270,943",,,,,,,,"5,636","3,577","-2,146","42,993","51,210",,,"270,611",,,,,,,,"6,205","5,112","6,520","29,000","46,335","55,900",,,,,,,,,,,"5,112","10,926","69,167","49,698","58,939",,,,,,,,,,"4,738","3,414","8,653","6,354","4,711","4,982","43,428","49,907","59,068",,,,,,,,,
Nợ ngắn hạn,CMG,"1,561,876","892,978","812,685","876,021","773,199","791,907","1,073,959","1,294,824","1,635,004","1,920,682","1,884,668","2,153,015","2,810,814","2,994,574","2,926,816","1,387,654","713,539","915,518","747,485","600,723","825,834","1,155,455","1,300,424","1,726,815","1,709,516","1,888,453","2,218,167","2,867,980","2,836,005","3,222,336","849,768","1,179,421","861,687","970,185","784,263","706,797","881,118","1,202,000","1,647,550","1,877,812","1,686,628","2,008,380","2,522,802","2,881,133","3,095,310","3,163,827","1,179,421","756,825","870,460","818,326","788,821","978,444","1,096,861","1,428,124","1,809,968","1,663,712","1,991,382","2,593,666","2,714,102","2,732,743","329,124","306,703","916,257","1,166,290","1,104,039","824,524","873,795","835,483","786,155","938,147","1,161,233","1,416,022","1,709,061","1,663,814","1,968,472","2,595,641","2,931,044","2,774,431"
Nợ phải trả,CMG,"1,793,820","1,034,036","928,674","1,063,367","1,026,562","1,023,908","1,254,158","1,408,665","1,995,146","2,653,437","2,664,478","2,867,035","3,628,964","3,802,847","3,862,932","1,619,225","859,733","1,118,506","950,919","883,823","972,546","1,329,196","1,509,960","2,064,251","2,439,995","2,691,872","2,965,026","3,715,804","3,707,986","4,251,333","1,064,055","1,432,047","1,013,214","1,190,791","1,012,609","1,032,541","1,032,651","1,332,763","1,851,567","2,223,016","2,461,109","2,756,197","3,405,804","3,847,108","4,005,505","4,134,018","1,432,047","875,083","1,061,301","1,034,064","1,068,430","1,096,204","1,181,257","1,729,218","2,466,374","2,375,090","2,629,969","3,508,931","3,506,610","3,580,664","330,335","307,394","988,390","1,396,550","1,241,127","941,933","1,051,742","1,051,543","1,035,282","1,098,170","1,249,698","1,749,085","2,346,364","2,396,983","2,660,453","3,566,051","3,439,129","3,509,625"
