StockID,Date,Total Volume,Total Value,Market Cap,Closing Price,Price Change,Price Change %,Matched Volume,Matched Value
CMG,12/03/2025,"1,808,600","77,169","8,927,459","42,250",-850,-1.97,"1,808,600","77,169"
CMG,11/03/2025,"1,602,500","69,081","9,107,065","43,100",-850,-1.93,"1,602,500","69,081"
CMG,10/03/2025,"910,000","40,111","9,286,670","43,950",-400,-0.9,"910,000","40,111"
CMG,07/03/2025,"596,200","26,542","9,371,191","44,350",-250,-0.56,"596,200","26,542"
CMG,06/03/2025,"1,053,600","46,780","9,425,746","44,600",600,1.36,"1,053,600","46,780"
CMG,05/03/2025,"644,900","28,510","9,298,943","44,000",-150,-0.34,"644,900","28,510"
CMG,04/03/2025,"1,093,200","48,160","9,330,644","44,150",-200,-0.45,"1,093,200","48,160"
CMG,03/03/2025,"646,400","28,776","9,372,912","44,350",-50,-0.11,"646,400","28,776"
CMG,28/02/2025,"793,900","35,229","9,383,479","44,400",-50,-0.11,"793,900","35,229"
CMG,27/02/2025,"526,300","23,406","9,394,046","44,450",-150,-0.34,"526,300","23,406"
CMG,26/02/2025,"952,600","42,599","9,425,746","44,600",400,0.9,"952,600","42,599"
CMG,25/02/2025,"939,900","41,485","9,341,211","44,200",50,0.11,"939,900","41,485"
CMG,24/02/2025,"1,858,984","81,677","9,330,644","44,150",-550,-1.23,"1,668,600","73,757"
CMG,21/02/2025,"880,000","39,332","9,446,880","44,700",-200,-0.45,"880,000","39,332"
CMG,20/02/2025,"676,700","30,538","9,489,148","44,900",-350,-0.77,"676,700","30,538"
CMG,19/02/2025,"1,060,600","47,688","9,563,117","45,250",650,1.46,"1,060,600","47,688"
CMG,18/02/2025,"590,500","26,336","9,425,746","44,600",50,0.11,"590,500","26,336"
CMG,17/02/2025,"917,400","41,021","9,415,179","44,550",-450,-1.0,"917,400","41,021"
CMG,14/02/2025,"811,200","36,673","9,510,282","45,000",-250,-0.55,"811,200","36,673"
CMG,13/02/2025,"564,500","25,547","9,563,117","45,250",-100,-0.22,"564,500","25,547"
CMG,12/02/2025,"862,700","39,019","9,584,251","45,350",700,1.57,"862,700","39,019"
CMG,11/02/2025,"800,400","35,595","9,436,313","44,650",600,1.36,"800,400","35,595"
CMG,10/02/2025,"1,854,100","82,137","9,309,510","44,050",-900,-2.0,"1,854,100","82,137"
CMG,07/02/2025,"928,400","41,854","9,499,715","44,950",-250,-0.55,"928,400","41,854"
CMG,06/02/2025,"745,500","33,755","9,552,550","45,200",-600,-1.31,"745,500","33,755"
CMG,05/02/2025,"773,100","35,310","9,679,354","45,800",400,0.88,"773,100","35,310"
CMG,04/02/2025,"794,800","35,958","9,594,818","45,400",600,1.34,"794,800","35,958"
CMG,03/02/2025,"1,986,700","89,341","9,468,014","44,800","-2,300",-4.88,"1,986,700","89,341"
CMG,24/01/2025,"730,300","34,528","9,954,095","47,100",-400,-0.84,"730,300","34,528"
CMG,23/01/2025,"902,600","42,896","10,038,631","47,500","1,100",2.37,"882,600","41,926"
CMG,22/01/2025,"564,400","26,461","9,806,158","46,400",-550,-1.17,"544,400","25,522"
CMG,21/01/2025,"690,000","32,462","9,922,395","46,950",350,0.75,"670,000","31,465"
CMG,20/01/2025,"674,100","31,724","9,848,426","46,600",-850,-1.79,"674,100","31,724"
CMG,17/01/2025,"1,356,800","63,628","10,028,064","47,450","1,350",2.93,"1,356,800","63,628"
CMG,16/01/2025,"956,900","43,903","9,742,756","46,100","1,000",2.22,"956,900","43,903"
CMG,15/01/2025,"486,800","22,028","8,586,927","45,100",300,0.67,"466,800","21,070"
CMG,14/01/2025,"585,600","26,430","8,529,808","44,800",0,0.0,"585,600","26,430"
CMG,13/01/2025,"1,582,000","69,904","8,529,808","44,800",150,0.34,"1,582,000","69,904"
CMG,10/01/2025,"1,784,100","80,896","8,501,248","44,650","-1,350",-2.93,"1,784,100","80,896"
CMG,09/01/2025,"1,644,800","76,561","8,758,285","46,000","-1,200",-2.54,"1,644,800","76,561"
