StockID,Date,Total Volume,Total Value,Market Cap,Closing Price,Price Change,Price Change %,Matched Volume,Matched Value
CMG,12/3/2025,1808600.00,77169.00,8927459.00,42250.00,-850.00,-1.97,1808600.00,77169.00
CMG,11/3/2025,1602500.00,69081.00,9107065.00,43100.00,-850.00,-1.93,1602500.00,69081.00
CMG,10/3/2025,910000.00,40111.00,9286670.00,43950.00,-400.00,-0.90,910000.00,40111.00
CMG,7/3/2025,596200.00,26542.00,9371191.00,44350.00,-250.00,-0.56,596200.00,26542.00
CMG,6/3/2025,1053600.00,46780.00,9425746.00,44600.00,600.00,1.36,1053600.00,46780.00
CMG,5/3/2025,644900.00,28510.00,9298943.00,44000.00,-150.00,-0.34,644900.00,28510.00
CMG,4/3/2025,1093200.00,48160.00,9330644.00,44150.00,-200.00,-0.45,1093200.00,48160.00
CMG,3/3/2025,646400.00,28776.00,9372912.00,44350.00,-50.00,-0.11,646400.00,28776.00
CMG,28/02/2025,793900.00,35229.00,9383479.00,44400.00,-50.00,-0.11,793900.00,35229.00
CMG,27/02/2025,526300.00,23406.00,9394046.00,44450.00,-150.00,-0.34,526300.00,23406.00
CMG,26/02/2025,952600.00,42599.00,9425746.00,44600.00,400.00,0.90,952600.00,42599.00
CMG,25/02/2025,939900.00,41485.00,9341211.00,44200.00,50.00,0.11,939900.00,41485.00
CMG,24/02/2025,1858984.00,81677.00,9330644.00,44150.00,-550.00,-1.23,1668600.00,73757.00
CMG,21/02/2025,880000.00,39332.00,9446880.00,44700.00,-200.00,-0.45,880000.00,39332.00
CMG,20/02/2025,676700.00,30538.00,9489148.00,44900.00,-350.00,-0.77,676700.00,30538.00
CMG,19/02/2025,1060600.00,47688.00,9563117.00,45250.00,650.00,1.46,1060600.00,47688.00
CMG,18/02/2025,590500.00,26336.00,9425746.00,44600.00,50.00,0.11,590500.00,26336.00
CMG,17/02/2025,917400.00,41021.00,9415179.00,44550.00,-450.00,-1.00,917400.00,41021.00
CMG,14/02/2025,811200.00,36673.00,9510282.00,45000.00,-250.00,-0.55,811200.00,36673.00
CMG,13/02/2025,564500.00,25547.00,9563117.00,45250.00,-100.00,-0.22,564500.00,25547.00
CMG,12/2/2025,862700.00,39019.00,9584251.00,45350.00,700.00,1.57,862700.00,39019.00
CMG,11/2/2025,800400.00,35595.00,9436313.00,44650.00,600.00,1.36,800400.00,35595.00
CMG,10/2/2025,1854100.00,82137.00,9309510.00,44050.00,-900.00,-2.00,1854100.00,82137.00
CMG,7/2/2025,928400.00,41854.00,9499715.00,44950.00,-250.00,-0.55,928400.00,41854.00
CMG,6/2/2025,745500.00,33755.00,9552550.00,45200.00,-600.00,-1.31,745500.00,33755.00
CMG,5/2/2025,773100.00,35310.00,9679354.00,45800.00,400.00,0.88,773100.00,35310.00
CMG,4/2/2025,794800.00,35958.00,9594818.00,45400.00,600.00,1.34,794800.00,35958.00
CMG,3/2/2025,1986700.00,89341.00,9468014.00,44800.00,-2300.00,-4.88,1986700.00,89341.00
CMG,24/01/2025,730300.00,34528.00,9954095.00,47100.00,-400.00,-0.84,730300.00,34528.00
CMG,23/01/2025,902600.00,42896.00,10038631.00,47500.00,1100.00,2.37,882600.00,41926.00
CMG,22/01/2025,564400.00,26461.00,9806158.00,46400.00,-550.00,-1.17,544400.00,25522.00
CMG,21/01/2025,690000.00,32462.00,9922395.00,46950.00,350.00,0.75,670000.00,31465.00
CMG,20/01/2025,674100.00,31724.00,9848426.00,46600.00,-850.00,-1.79,674100.00,31724.00
CMG,17/01/2025,1356800.00,63628.00,10028064.00,47450.00,1350.00,2.93,1356800.00,63628.00
CMG,16/01/2025,956900.00,43903.00,9742756.00,46100.00,1000.00,2.22,956900.00,43903.00
CMG,15/01/2025,486800.00,22028.00,8586927.00,45100.00,300.00,0.67,466800.00,21070.00
CMG,14/01/2025,585600.00,26430.00,8529808.00,44800.00,0.00,0.00,585600.00,26430.00
CMG,13/01/2025,1582000.00,69904.00,8529808.00,44800.00,150.00,0.34,1582000.00,69904.00
CMG,10/1/2025,1784100.00,80896.00,8501248.00,44650.00,-1350.00,-2.93,1784100.00,80896.00
CMG,9/1/2025,1644800.00,76561.00,8758285.00,46000.00,-1200.00,-2.54,1644800.00,76561.00
CMG,8/1/2025,1772800.00,83863.00,8986762.00,47200.00,-950.00,-1.97,1772800.00,83863.00
CMG,7/1/2025,1680200.00,81861.00,9167639.00,48150.00,-850.00,-1.73,1654200.00,80587.00
CMG,6/1/2025,1150100.00,56871.00,9329477.00,49000.00,-350.00,-0.71,1150100.00,56871.00
CMG,3/1/2025,1894600.00,94434.00,9396116.00,49350.00,50.00,0.10,1894600.00,94434.00
CMG,2/1/2025,513000.00,25251.00,9386597.00,49300.00,50.00,0.10,513000.00,25251.00
CMG,31/12/2024,957300.00,47329.00,9377077.00,49250.00,150.00,0.31,957300.00,47329.00
CMG,30/12/2024,963700.00,47385.00,9348517.00,49100.00,550.00,1.13,963700.00,47385.00
CMG,27/12/2024,3243500.00,176474.00,10262425.00,53900.00,-1500.00,-2.71,3243500.00,176474.00
CMG,26/12/2024,1429900.00,79651.00,10548021.00,55400.00,-500.00,-0.89,1404500.00,78241.00
CMG,25/12/2024,2180100.00,121225.00,10643220.00,55900.00,900.00,1.64,2060100.00,115081.00
CMG,24/12/2024,2269700.00,125489.00,10471862.00,55000.00,-800.00,-1.43,2269700.00,125489.00
CMG,23/12/2024,2501700.00,140534.00,10624180.00,55800.00,-700.00,-1.24,2381700.00,133286.00
CMG,20/12/2024,2137600.00,121361.00,10757459.00,56500.00,0.00,0.00,2137600.00,121361.00
CMG,19/12/2024,2980500.00,166729.00,10757459.00,56500.00,900.00,1.62,2980500.00,166729.00
CMG,18/12/2024,1389800.00,77058.00,10586101.00,55600.00,600.00,1.09,1389800.00,77058.00
CMG,17/12/2024,1094200.00,60345.00,10471862.00,55000.00,-700.00,-1.26,1094200.00,60345.00
CMG,16/12/2024,1860400.00,101979.00,10605141.00,55700.00,1500.00,2.77,1834400.00,100570.00
CMG,13/12/2024,3117200.00,170864.00,10319544.00,54200.00,-1500.00,-2.69,3117200.00,170864.00
CMG,12/12/2024,2565600.00,144306.00,10605141.00,55700.00,-1300.00,-2.28,2565600.00,144306.00
CMG,11/12/2024,2240000.00,128509.00,10852657.00,57000.00,400.00,0.71,2240000.00,128509.00
CMG,10/12/2024,2964300.00,166557.00,10776498.00,56600.00,-100.00,-0.18,2964300.00,166557.00
CMG,9/12/2024,2717300.00,155258.00,10795538.00,56700.00,-1200.00,-2.07,2717300.00,155258.00
CMG,6/12/2024,2863800.00,167146.00,11024015.00,57900.00,900.00,1.58,2863800.00,167146.00
CMG,5/12/2024,3679000.00,209039.00,10852657.00,57000.00,500.00,0.88,3679000.00,209039.00
CMG,4/12/2024,2998000.00,171158.00,10757459.00,56500.00,-1800.00,-3.09,2940000.00,168005.00
CMG,3/12/2024,4372000.00,254966.00,11100174.00,58300.00,2000.00,3.55,4352000.00,253840.00
CMG,2/12/2024,1717700.00,97126.00,10719379.00,56300.00,-500.00,-0.88,1717700.00,97126.00
CMG,29/11/2024,3710200.00,209068.00,10814578.00,56800.00,2400.00,4.41,3612300.00,203370.00
CMG,28/11/2024,2312800.00,126094.00,10357624.00,54400.00,400.00,0.74,2215200.00,120775.00
CMG,27/11/2024,2485000.00,134360.00,10281465.00,54000.00,700.00,1.31,2365300.00,127766.00
CMG,26/11/2024,1797900.00,95020.00,10148187.00,53300.00,500.00,0.95,1732100.00,91546.00
CMG,25/11/2024,2413500.00,126036.00,10052988.00,52800.00,-500.00,-0.94,2205500.00,114969.00
CMG,22/11/2024,2233500.00,120725.00,10148187.00,53300.00,-700.00,-1.30,2129900.00,115112.00
CMG,21/11/2024,1242900.00,66730.00,10281465.00,54000.00,200.00,0.37,1049900.00,55980.00
CMG,20/11/2024,2846500.00,149279.00,10243385.00,53800.00,100.00,0.19,2752500.00,144102.00
CMG,19/11/2024,3051300.00,168614.00,10224346.00,53700.00,-4000.00,-6.93,3051300.00,168614.00
