StockID,Date,Total Volume,Total Value,Market Cap,Closing Price,Price Change,Price Change %,Matched Volume,Matched Value
FPT,12/3/2025,6365000,870067,199918302,135900,-1600,-1.16,6185000,844877
FPT,11/3/2025,6164400,849430,202272013,137500,-1800,-1.29,5784400,797080
FPT,10/3/2025,5681900,796168,204919937,139300,-2100,-1.49,5323000,745248
FPT,7/3/2025,3436000,486821,208009182,141400,-200,-0.14,2954500,418579
FPT,6/3/2025,6511400,921080,208303396,141600,2500,1.8,6417100,907741
FPT,5/3/2025,2851100,398057,204625723,139100,-900,-0.64,2851100,398057
FPT,4/3/2025,4024595,561630,205949686,140000,-500,-0.36,3471300,485622
FPT,3/3/2025,2933900,412898,206685220,140500,200,0.14,2533900,356622
FPT,28/02/2025,6943200,970677,206391006,140300,-1000,-0.71,4694400,655863
FPT,27/02/2025,3921700,553708,207862076,141300,-500,-0.35,3421700,483088
FPT,26/02/2025,3739800,524682,208597610,141800,2800,2.01,3323400,466222
FPT,25/02/2025,7334400,1018328,204478616,139000,-1500,-1.07,6810400,945360
FPT,24/02/2025,7517901,1055207,206685220,140500,-1500,-1.06,7497900,1052387
FPT,21/02/2025,5332600,756982,208891824,142000,-1000,-0.7,5312600,754130
FPT,20/02/2025,3385400,485313,210362893,143000,-1000,-0.69,3385400,485313
FPT,19/02/2025,3469801,498207,211833962,144000,100,0.07,3029800,435016
FPT,18/02/2025,1664400,239297,211686855,143900,300,0.21,1664400,239297
FPT,17/02/2025,2816300,401807,211245535,143600,-1300,-0.9,2466300,354627
FPT,14/02/2025,3251709,470242,213157925,144900,1800,1.26,3251700,470241
FPT,13/02/2025,3248100,465945,210510000,143100,-1900,-1.31,2850800,409131
FPT,12/2/2025,2035451,293775,213305032,145000,-400,-0.28,1887400,273640
FPT,11/2/2025,7361400,1028164,213893459,145400,3400,2.39,5361400,763964
FPT,10/2/2025,7749600,1110284,208891824,142000,-4100,-2.81,7749600,1110284
FPT,7/2/2025,4365900,637557,214923208,146100,-400,-0.27,3865900,564532
FPT,6/2/2025,3724601,544308,215511635,146500,200,0.14,3426600,500993
FPT,5/2/2025,5344100,783416,215217421,146300,100,0.07,5204100,762696
FPT,4/2/2025,7250700,1064371,215070315,146200,700,0.48,5467700,798580
FPT,3/2/2025,12863200,1890881,214040566,145500,-7900,-5.15,12747700,1873902
FPT,24/01/2025,3950706,607610,225662013,153400,-900,-0.58,3655700,561884
FPT,23/01/2025,8459101,1299117,226985975,154300,4600,3.07,7057800,1086532
FPT,22/01/2025,4066602,609376,220219057,149700,-200,-0.13,2785600,417226
FPT,21/01/2025,3475801,522390,220513271,149900,-100,-0.07,2480300,372370
FPT,20/01/2025,2297711,343045,220660377,150000,1000,0.67,2217700,331955
FPT,17/01/2025,3900004,578062,219189308,149000,2500,1.71,3537000,524314
FPT,16/01/2025,3856703,563585,215511635,146500,1000,0.69,3568000,521397
FPT,15/01/2025,3329903,484993,214040566,145500,400,0.28,2840900,412809
FPT,14/01/2025,4304503,633194,213452138,145100,-2500,-1.69,2897200,422427
FPT,13/01/2025,5156707,755429,217129811,147600,300,0.2,3488800,511097
FPT,10/1/2025,2737703,405427,216688491,147300,-1500,-1.01,2524700,373943
FPT,9/1/2025,1964401,291101,218895094,148800,500,0.34,1714400,254511
FPT,8/1/2025,3879902,576711,218159560,148300,-1800,-1.2,3879900,576711
FPT,7/1/2025,4053304,610786,220807484,150100,800,0.54,3453300,519867
FPT,6/1/2025,3467104,517719,219630629,149300,300,0.2,3467100,517718
FPT,3/1/2025,6446104,968671,219189308,149000,-3000,-1.97,4336100,651136
FPT,2/1/2025,6190801,930773,223602516,152000,-500,-0.33,3172800,479017
FPT,31/12/2024,4803202,732417,224338050,152500,2000,1.33,3603200,548817
FPT,30/12/2024,3458409,519810,221395912,150500,900,0.6,1982400,296877
FPT,27/12/2024,4611705,690788,220071950,149600,-200,-0.13,2561700,382262
FPT,26/12/2024,2820057,422649,220366164,149800,-1000,-0.66,2233300,334764
FPT,25/12/2024,4668104,698840,221837233,150800,400,0.27,2513100,378912
FPT,24/12/2024,4037903,607236,221248805,150400,600,0.4,2300900,345204
FPT,23/12/2024,4310913,648105,220366164,149800,300,0.2,2514800,375097
FPT,20/12/2024,4735902,710815,219924843,149500,1400,0.95,3538900,529889
FPT,19/12/2024,5825454,864563,217865346,148100,-600,-0.4,4805200,711171
FPT,18/12/2024,3539440,526858,218747988,148700,700,0.47,2923400,435819
FPT,17/12/2024,7296205,1090438,217718239,148000,-1900,-1.27,5947500,885470
