StockID,Date,Foreign Investor Room,Remaining Room Shares,Remaining Room %,Matched Buy Volume,Matched Buy Value,Matched Sell Volume,Matched Sell Value,Negotiated Buy Volume,Negotiated Buy Value,Negotiated Sell Volume,Negotiated Sell Value,Total Buy Volume,Total Buy Value,Total Sell Volume,Total Sell Value
CMG,12/03/2025,"95,198,748","26,838,264",12.7,"108,000","4,611","108,000","4,534",0,0,0,0,"108,000","4,611","108,000","4,534"
CMG,11/03/2025,"95,198,748","26,941,402",12.75,"105,800","4,561","48,976","2,098",0,0,0,0,"105,800","4,561","48,976","2,098"
CMG,10/03/2025,"95,198,748","26,900,801",12.73,"12,200",539,"145,498","6,412",0,0,0,0,"12,200",539,"145,498","6,412"
CMG,07/03/2025,"95,198,748","26,907,081",12.73,"9,200",409,"4,862",215,0,0,0,0,"9,200",409,"4,862",215
CMG,06/03/2025,"95,198,748","26,868,386",12.71,"42,500","1,889","146,401","6,463",0,0,0,0,"42,500","1,889","146,401","6,463"
CMG,05/03/2025,"95,198,748","26,885,686",12.72,"120,500","5,320","5,920",260,0,0,0,0,"120,500","5,320","5,920",260
CMG,04/03/2025,"95,198,748","26,989,563",12.77,"94,800","4,173","47,895","2,107",0,0,0,0,"94,800","4,173","47,895","2,107"
CMG,03/03/2025,"95,198,748","27,083,863",12.82,"19,630",874,"25,200","1,122",0,0,0,0,"19,630",874,"25,200","1,122"
CMG,28/02/2025,"95,198,748","27,022,100",12.79,"107,800","4,787","16,623",737,0,0,0,0,"107,800","4,787","16,623",737
CMG,27/02/2025,"95,198,748","27,115,400",12.83,"2,400",108,500,22,0,0,0,0,"2,400",108,500,22
CMG,26/02/2025,"95,198,748","26,979,300",12.77,"45,700","2,042","81,393","3,641",0,0,0,0,"45,700","2,042","81,393","3,641"
CMG,25/02/2025,"95,198,748","27,006,900",12.78,100,4,"14,500",644,0,0,0,0,100,4,"14,500",644
CMG,24/02/2025,"95,198,748","26,984,300",12.77,"7,300",324,"138,500","6,145",0,0,0,0,"7,300",324,"138,500","6,145"
