StockID,Date,Foreign Investor Room,Remaining Room Shares,Remaining Room %,Matched Buy Volume,Matched Buy Value,Matched Sell Volume,Matched Sell Value,Negotiated Buy Volume,Negotiated Buy Value,Negotiated Sell Volume,Negotiated Sell Value,Total Buy Volume,Total Buy Value,Total Sell Volume,Total Sell Value
FPT,12/03/2025,"720,823,899","69,107,399",4.7,"545,200","74,590","2,706,300","369,670","100,000","13,660","100,000","13,660","645,200","88,251","2,806,300","383,330"
FPT,11/03/2025,"720,823,899","67,582,207",4.59,"1,411,550","194,553","1,978,820","272,010","380,000","52,351","380,000","52,351","1,791,550","246,904","2,358,820","324,361"
FPT,10/03/2025,"720,823,899","66,589,517",4.53,"1,525,876","213,768","2,671,316","372,406","193,900","27,147","193,900","27,147","1,719,776","240,915","2,865,216","399,553"
FPT,07/03/2025,"720,823,899","67,355,093",4.58,"788,743","111,749","1,525,192","215,676","441,500","62,437","441,500","62,437","1,230,243","174,185","1,966,692","278,113"
FPT,06/03/2025,"720,823,899","66,916,990",4.55,"2,079,519","293,500","2,420,240","342,230","94,300","13,339","94,300","13,339","2,173,819","306,839","2,514,540","355,569"
FPT,05/03/2025,"720,823,899","67,518,253",4.59,"610,237","85,198","776,300","108,315",0,0,0,0,"610,237","85,198","776,300","108,315"
FPT,04/03/2025,"720,823,899","66,100,985",4.49,"1,336,310","186,988","1,242,846","173,449","400,000","55,973","300,000","41,980","1,736,310","242,961","1,542,846","215,429"
FPT,03/03/2025,"720,823,899","66,096,965",4.49,"959,931","135,061","1,478,256","207,971","400,000","56,278","400,000","56,278","1,359,931","191,340","1,878,256","264,249"
FPT,28/02/2025,"720,823,899","66,050,204",4.49,"1,664,962","232,570","2,059,505","287,613","1,456,800","203,538","1,256,800","175,591","3,121,762","436,108","3,316,305","463,205"
FPT,27/02/2025,"720,823,899","64,762,406",4.4,"1,519,120","214,414","1,440,330","203,218","500,000","70,621","500,000","70,621","2,019,120","285,035","1,940,330","273,839"
FPT,26/02/2025,"720,823,899","63,241,179",4.3,"917,414","128,892","1,006,692","140,924","500,100","70,271","500,100","70,271","1,417,514","199,163","1,506,792","211,195"
FPT,25/02/2025,"720,823,899","61,855,637",4.2,"1,784,354","247,873","3,167,760","438,526","353,000","49,043","353,000","49,043","2,137,354","296,916","3,520,760","487,569"
FPT,24/02/2025,"720,823,899","62,361,682",4.24,"1,290,243","181,334","3,072,347","430,990",0,0,0,0,"1,290,243","181,334","3,072,347","430,990"
FPT,21/02/2025,"720,823,899","62,914,196",4.28,"1,271,718","180,492","2,313,956","328,420",0,0,0,0,"1,271,718","180,492","2,313,956","328,420"
FPT,20/02/2025,"720,823,899","63,757,444",4.33,"269,700","38,643","1,310,309","187,857",0,0,0,0,"269,700","38,643","1,310,309","187,857"
FPT,19/02/2025,"720,823,899","62,990,964",4.28,"1,097,434","157,727","749,729","107,572","420,000","60,321","440,000","63,192","1,517,434","218,047","1,189,729","170,764"
FPT,18/02/2025,"720,823,899","63,528,198",4.32,"762,219","109,615","460,470","66,175",0,0,0,0,"762,219","109,615","460,470","66,175"
FPT,17/02/2025,"720,823,899","63,640,328",4.33,"590,430","84,919","1,083,180","155,232",0,0,0,0,"590,430","84,919","1,083,180","155,232"
FPT,14/02/2025,"720,823,899","63,612,958",4.32,"1,378,977","199,368","542,200","78,401",0,0,0,0,"1,378,977","199,368","542,200","78,401"
FPT,13/02/2025,"720,823,899","62,892,705",4.28,"503,244","72,249","712,089","102,280","397,300","56,816","397,300","56,816","900,544","129,065","1,109,389","159,096"
FPT,12/02/2025,"720,823,899","61,299,019",4.17,"685,900","99,429","617,800","89,569",0,0,0,0,"685,900","99,429","617,800","89,569"
FPT,11/02/2025,"720,823,899","60,083,256",4.08,"1,858,124","265,032","2,116,230","300,521",0,0,0,0,"1,858,124","265,032","2,116,230","300,521"
FPT,10/02/2025,"720,823,899","60,916,720",4.14,"2,058,003","295,169","2,126,930","304,578",0,0,0,0,"2,058,003","295,169","2,126,930","304,578"
FPT,07/02/2025,"720,823,899","60,115,223",4.09,"2,302,921","336,283","1,931,663","282,036","500,000","73,025","500,000","73,025","2,802,921","409,308","2,431,663","355,061"
FPT,06/02/2025,"720,823,899","60,214,112",4.09,"872,683","127,566","1,024,660","149,802",0,0,0,0,"872,683","127,566","1,024,660","149,802"
FPT,05/02/2025,"720,823,899","55,562,340",3.78,"2,808,608","411,564","2,859,500","419,099",0,0,0,0,"2,808,608","411,564","2,859,500","419,099"
FPT,04/02/2025,"720,823,899","56,561,349",3.84,"1,192,100","174,145","2,279,032","332,739","420,000","61,343","420,000","61,343","1,612,100","235,488","2,699,032","394,082"
FPT,03/02/2025,"720,823,899","56,710,274",3.86,"2,068,171","305,038","5,524,455","813,492","115,500","16,979","115,500","16,979","2,183,671","322,016","5,639,955","830,471"
FPT,24/01/2025,"720,823,899","57,556,045",3.91,"655,945","100,742","1,809,599","278,236",0,0,0,0,"655,945","100,742","1,809,599","278,236"
