StockID,Date,Foreign Investor Room,Remaining Room Shares,Remaining Room %,Matched Buy Volume,Matched Buy Value,Matched Sell Volume,Matched Sell Value,Negotiated Buy Volume,Negotiated Buy Value,Negotiated Sell Volume,Negotiated Sell Value,Total Buy Volume,Total Buy Value,Total Sell Volume,Total Sell Value
FPT,12/3/2025,720823899.00,69107399.00,4.70,545200.00,74590.00,2706300.00,369670.00,100000.00,13660.00,100000.00,13660.00,645200.00,88251.00,2806300.00,383330.00
FPT,11/3/2025,720823899.00,67582207.00,4.59,1411550.00,194553.00,1978820.00,272010.00,380000.00,52351.00,380000.00,52351.00,1791550.00,246904.00,2358820.00,324361.00
FPT,10/3/2025,720823899.00,66589517.00,4.53,1525876.00,213768.00,2671316.00,372406.00,193900.00,27147.00,193900.00,27147.00,1719776.00,240915.00,2865216.00,399553.00
FPT,7/3/2025,720823899.00,67355093.00,4.58,788743.00,111749.00,1525192.00,215676.00,441500.00,62437.00,441500.00,62437.00,1230243.00,174185.00,1966692.00,278113.00
FPT,6/3/2025,720823899.00,66916990.00,4.55,2079519.00,293500.00,2420240.00,342230.00,94300.00,13339.00,94300.00,13339.00,2173819.00,306839.00,2514540.00,355569.00
FPT,5/3/2025,720823899.00,67518253.00,4.59,610237.00,85198.00,776300.00,108315.00,0.00,0.00,0.00,0.00,610237.00,85198.00,776300.00,108315.00
FPT,4/3/2025,720823899.00,66100985.00,4.49,1336310.00,186988.00,1242846.00,173449.00,400000.00,55973.00,300000.00,41980.00,1736310.00,242961.00,1542846.00,215429.00
FPT,3/3/2025,720823899.00,66096965.00,4.49,959931.00,135061.00,1478256.00,207971.00,400000.00,56278.00,400000.00,56278.00,1359931.00,191340.00,1878256.00,264249.00
FPT,28/02/2025,720823899.00,66050204.00,4.49,1664962.00,232570.00,2059505.00,287613.00,1456800.00,203538.00,1256800.00,175591.00,3121762.00,436108.00,3316305.00,463205.00
FPT,27/02/2025,720823899.00,64762406.00,4.40,1519120.00,214414.00,1440330.00,203218.00,500000.00,70621.00,500000.00,70621.00,2019120.00,285035.00,1940330.00,273839.00
