StockID,Metric,Value,Section Title
CMG,+/- Qua 1 tuần,-3.98%,Biến động giá giao dịch
CMG,+/- Qua 1 tháng,-6.84%,Biến động giá giao dịch
CMG,+/- Qua 1 quý,-15.79%,Biến động giá giao dịch
CMG,+/- Qua 1 năm,+15.53%,Biến động giá giao dịch
CMG,+/- Niêm yết,+300.13%,Biến động giá giao dịch
CMG,Cao nhất 52 tuần (21/06/2024)*,"63,592",Biến động giá giao dịch
CMG,Thấp nhất 52 tuần (25/03/2024)*,"35,399",Biến động giá giao dịch
CMG,KLGD/Ngày (1 tuần),"1,194,180",Biến động giá giao dịch
CMG,KLGD/Ngày (1 tháng),"936,880",Biến động giá giao dịch
CMG,KLGD/Ngày (1 quý),"1,244,493",Biến động giá giao dịch
CMG,KLGD/Ngày (1 năm),"1,352,776",Biến động giá giao dịch
CMG,Nhiều nhất 52 tuần (11/11/2024)*,"7,476,900",Biến động giá giao dịch
CMG,Ít nhất 52 tuần (25/03/2024)*,"111,800",Biến động giá giao dịch
CMG,KLGD/Ngày (1 tuần),"1,194,180",Khối lượng giao dịch bình quân/ngày
CMG,KLGD/Ngày (1 tháng),"936,880",Khối lượng giao dịch bình quân/ngày
CMG,KLGD/Ngày (1 quý),"1,244,493",Khối lượng giao dịch bình quân/ngày
CMG,KLGD/Ngày (1 năm),"1,352,776",Khối lượng giao dịch bình quân/ngày
CMG,Nhiều nhất 52 tuần (11/11/2024)*,"7,476,900",Khối lượng giao dịch bình quân/ngày
CMG,Ít nhất 52 tuần (25/03/2024)*,"111,800",Khối lượng giao dịch bình quân/ngày
