StockID,Metric,Value,Section Title
FPT,+/- Qua 1 tuần,-2.30%,Biến động giá giao dịch
FPT,+/- Qua 1 tháng,-6.28%,Biến động giá giao dịch
FPT,+/- Qua 1 quý,-9.52%,Biến động giá giao dịch
FPT,+/- Qua 1 năm,+41.63%,Biến động giá giao dịch
FPT,+/- Niêm yết,"+1,054.63%",Biến động giá giao dịch
FPT,Cao nhất 52 tuần (23/01/2025)*,"154,300",Biến động giá giao dịch
FPT,Thấp nhất 52 tuần (19/04/2024)*,"93,467",Biến động giá giao dịch
FPT,KLGD/Ngày (1 tuần),"5,332,800",Biến động giá giao dịch
FPT,KLGD/Ngày (1 tháng),"4,161,455",Biến động giá giao dịch
FPT,KLGD/Ngày (1 quý),"3,924,347",Biến động giá giao dịch
FPT,KLGD/Ngày (1 năm),"4,329,257",Biến động giá giao dịch
FPT,Nhiều nhất 52 tuần (25/06/2024)*,"13,706,800",Biến động giá giao dịch
FPT,Ít nhất 52 tuần (31/10/2024)*,"1,241,700",Biến động giá giao dịch
FPT,KLGD/Ngày (1 tuần),"5,332,800",Khối lượng giao dịch bình quân/ngày
FPT,KLGD/Ngày (1 tháng),"4,161,455",Khối lượng giao dịch bình quân/ngày
FPT,KLGD/Ngày (1 quý),"3,924,347",Khối lượng giao dịch bình quân/ngày
FPT,KLGD/Ngày (1 năm),"4,329,257",Khối lượng giao dịch bình quân/ngày
FPT,Nhiều nhất 52 tuần (25/06/2024)*,"13,706,800",Khối lượng giao dịch bình quân/ngày
FPT,Ít nhất 52 tuần (31/10/2024)*,"1,241,700",Khối lượng giao dịch bình quân/ngày
