Indicator,StockID,6M_2023,6M_2024,9M_2023,9M_2024,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024,Y_2023,Y_2024
"- Cổ phiếu phổ thông có quyền biểu quyết
411a",CMG,"1,505,960,320,000","1,904,392,960,000","1,900,269,960,000","1,903,974,960,000","1,505,960,320,000","1,904,392,960,000","1,505,960,320,000","1,904,392,960,000","1,900,269,960,000","1,903,974,960,000","1,900,269,960,000",,"1,900,269,960,000",
"- Cổ phiếu phổ thông có quyền biểu quyết
411a",FPT,"11,043,316,220,000","14,604,480,660,000","12,699,688,750,000","14,604,480,660,000","10,970,265,720,000","12,699,688,750,000","11,043,316,220,000","14,604,480,660,000","12,699,688,750,000","14,604,480,660,000","12,699,688,750,000","14,710,691,830,000","12,699,688,750,000","14,710,691,830,000"
"- Giá trị hao mòn lũy kế
223",CMG,"-1,577,566,941,383","-1,886,773,746,201","-1,655,226,032,606","-1,972,024,039,112","-1,513,783,100,366","-1,810,449,040,895","-1,577,558,303,535","-1,895,977,157,084","-1,655,226,032,606","-1,972,024,039,112","-1,734,759,159,367",,"-1,732,114,441,724",
"- Giá trị hao mòn lũy kế
223",FPT,"-9,109,849,933,394","-10,798,956,932,818","-9,539,916,194,703","-11,261,187,491,234","-8,728,063,268,763","-10,351,316,034,547","-9,139,679,844,094","-10,798,956,932,818","-9,539,916,194,703","-11,261,187,491,234","-9,906,952,653,021","-11,683,165,704,793","-9,906,845,402,941","-11,683,165,704,793"
"- Giá trị hao mòn lũy kế
226",FPT,"-3,878,313,753","-4,386,536,239","-3,587,478,607","-3,607,403,617","-24,915,388,622","-4,197,599,404","-29,013,930,078","-4,386,536,239","-3,587,478,607","-3,607,403,617","-4,013,832,181","-3,673,326,424","-4,013,832,181","-3,673,326,424"
"- Giá trị hao mòn lũy kế
229",CMG,"-204,562,879,852","-256,563,057,357","-214,891,405,482","-263,350,749,129","-196,463,253,726","-243,103,488,657","-204,542,163,412","-247,481,194,242","-214,891,405,482","-263,350,749,129","-229,370,750,049",,"-232,894,376,606",
"- Giá trị hao mòn lũy kế
229",FPT,"-1,379,348,674,009","-1,483,842,892,877","-1,287,665,448,765","-1,532,604,715,427","-1,320,839,287,871","-1,414,107,431,170","-1,379,348,674,009","-1,495,486,413,009","-1,287,665,448,765","-1,532,604,715,427","-1,338,489,590,814","-1,616,781,511,666","-1,338,489,590,814","-1,616,781,511,666"
"- LNST chưa phân phối kỳ này
421b",CMG,"140,899,843,606","142,100,659,170","270,978,139,867","259,675,950,594","83,917,553,520","83,226,280,864","151,868,076,684","144,277,169,350","270,978,139,867","259,675,950,594","309,456,353,679",,"330,675,518,402",
"- LNST chưa phân phối kỳ này
421b",FPT,"3,002,470,167,474","3,673,189,632,065","3,198,658,610,039","5,762,017,834,569","1,493,562,580,890","1,798,066,420,421","3,002,470,167,474","3,671,845,614,300","3,198,658,610,039","5,762,017,834,569","4,208,629,838,475","5,565,337,234,255","4,202,230,790,206","5,565,337,234,255"
"- LNST chưa phân phối lũy kế đến cuối kỳ trước
421a",CMG,"255,425,341,214","289,006,849,356","31,944,531,767","292,901,309,205","258,876,584,368","332,449,754,566","245,670,344,754","285,845,847,678","31,944,531,767","292,901,309,205","32,130,126,999",,"11,434,141,375",
