No.,Indicator,Industry,Stocks,2023,2024,6M_2023,6M_2024,9M_2023,9M_2024,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024
1,A. TÀI SẢN NGẮN HẠN,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","43,898,750,649,879","50,012,611,294,247","46,163,463,501,028","49,212,018,271,364","47,447,926,241,197","51,559,913,663,516","37,054,341,402,710","44,460,289,151,475","46,313,090,001,355","48,727,600,349,745","47,447,926,241,197","51,559,913,663,516","44,600,507,708,345","49,985,725,505,833"
2,I. Tiền và các khoản tương đương tiền,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","9,383,807,038,793","9,844,015,495,131","7,063,182,813,313","7,851,384,883,181","8,232,635,324,546","8,988,153,183,225","3,924,114,581,174","7,250,011,909,819","7,064,065,059,093","7,819,418,886,356","8,232,635,324,546","8,988,153,183,225","9,404,038,383,171","9,849,088,479,581"
3,1. Tiền,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","6,869,844,202,589","7,127,498,540,298","4,778,764,094,918","6,473,480,898,695","5,776,560,869,076","6,150,989,048,730","3,632,359,533,044","6,166,533,179,985","4,778,620,748,908","6,473,452,066,134","5,776,560,869,076","6,150,989,048,730","6,870,026,966,601","7,134,634,362,586"
4,2. Các khoản tương đương tiền,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,513,962,836,204","2,716,516,954,833","2,284,418,718,395","1,377,903,984,486","2,456,074,455,470","2,837,164,134,495","291,755,048,130","1,083,478,729,834","2,285,444,310,185","1,345,966,820,222","2,456,074,455,470","2,837,164,134,495","2,534,011,416,570","2,714,454,116,995"
5,II. Đầu tư tài chính ngắn hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","17,469,376,940,580","21,939,014,847,893","21,603,945,223,031","21,268,626,867,228","20,881,202,696,106","20,882,777,920,819","14,902,830,880,117","19,605,820,020,573","21,603,065,371,241","21,300,652,951,492","20,881,202,696,106","20,882,777,920,819","17,451,467,380,214","21,933,941,863,443"
6,1. Chứng khoán kinh doanh,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,276,387,863","822,859,368","2,276,387,863","2,276,387,863","2,276,387,863","2,276,387,863","2,276,387,863","2,276,387,863","2,276,387,863","2,276,387,863","2,276,387,863","2,276,387,863","2,276,387,863","822,859,368"
7,2. Dự phòng giảm giá chứng khoán kinh doanh,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-1,359,582,863","-221,176,768","-1,491,797,063","-1,445,577,463","-1,222,216,863","-1,347,919,463","-1,512,704,863","-1,220,562,863","-1,346,057,063","-1,363,257,463","-1,222,216,863","-1,347,919,463","-1,220,562,863","-221,176,768"
8,3. Đầu tư nắm giữ đến ngày đáo hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","17,468,460,135,580","21,938,413,165,293","21,603,160,632,231","21,267,796,056,828","20,880,148,525,106","20,881,849,452,419","14,902,067,197,117","19,604,764,195,573","21,602,135,040,441","21,299,739,821,092","20,880,148,525,106","20,881,849,452,419","17,450,411,555,214","21,933,340,180,843"
9,III. Các khoản phải thu ngắn hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","13,438,881,966,311","14,633,511,148,303","13,076,151,864,103","15,791,161,976,107","14,013,988,297,446","16,962,666,026,037","13,793,360,252,899","13,430,630,363,285","13,222,826,710,300","15,309,400,090,736","14,013,988,297,446","16,962,666,026,037","13,944,197,021,554","14,572,253,550,983"
10,1. Phải thu ngắn hạn của khách hàng,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","12,776,399,155,346","12,787,833,064,968","11,484,018,114,912","13,970,912,984,544","12,488,396,479,996","14,496,337,709,792","11,591,099,414,988","12,732,113,325,258","11,570,872,129,842","13,985,339,286,886","12,488,396,479,996","14,496,337,709,792","12,914,770,563,242","12,721,191,411,362"
