No.,Indicator,Industry,Stocks,2023,2024,6M_2023,6M_2024,9M_2023,9M_2024,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024
1,A. TÀI SẢN NGẮN HẠN,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","41,594,825,545,471","46,746,724,331,863","43,530,441,675,684","46,219,852,471,291","44,760,934,586,194","48,148,915,643,889","34,089,374,177,155","42,637,418,537,556","43,587,148,401,867","46,262,023,548,433","44,760,934,586,194","48,148,915,643,889","41,682,810,412,074","46,746,724,331,863"
2,I. Tiền và các khoản tương đương tiền,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","9,123,288,156,968","9,637,339,168,495","6,800,443,901,600","7,635,220,804,461","7,966,665,729,721","8,822,847,580,022","3,624,927,604,048","7,012,892,106,347","6,800,300,556,546","7,598,184,776,889","7,966,665,729,721","8,822,847,580,022","9,138,564,613,640","9,637,339,168,495"
3,1. Tiền,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","6,616,540,053,222","6,922,885,051,500","4,527,189,983,331","6,259,371,171,574","5,522,822,364,053","5,992,809,925,286","3,346,319,498,556","5,934,595,714,304","4,527,046,638,277","6,259,335,144,002","5,522,822,364,053","5,992,809,925,286","6,616,816,509,894","6,922,885,051,500"
4,2. Các khoản tương đương tiền,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","2,506,748,103,746","2,714,454,116,995","2,273,253,918,269","1,375,849,632,887","2,443,843,365,668","2,830,037,654,736","278,608,105,492","1,078,296,392,043","2,273,253,918,269","1,338,849,632,887","2,443,843,365,668","2,830,037,654,736","2,521,748,103,746","2,714,454,116,995"
5,II. Đầu tư tài chính ngắn hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","17,413,991,700,214","21,933,868,963,443","21,552,589,691,241","21,213,309,691,492","20,830,727,016,106","20,832,441,260,819","14,852,355,200,117","19,550,295,760,207","21,552,589,691,241","21,250,316,291,492","20,830,727,016,106","20,832,441,260,819","17,400,991,700,214","21,933,868,963,443"
6,1. Chứng khoán kinh doanh,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","723,320,938","749,959,368","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","749,959,368"
7,2. Dự phòng giảm giá chứng khoán kinh doanh,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","-143,175,938","-221,176,768","-268,670,138","-146,850,538","-144,829,938","-131,512,538","-435,317,938","-143,175,938","-268,670,138","-146,850,538","-144,829,938","-131,512,538","-143,175,938","-221,176,768"
8,3. Đầu tư nắm giữ đến ngày đáo hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","17,413,411,555,214","21,933,340,180,843","21,552,135,040,441","21,212,733,221,092","20,830,148,525,106","20,831,849,452,419","14,852,067,197,117","19,549,715,615,207","21,552,135,040,441","21,249,739,821,092","20,830,148,525,106","20,831,849,452,419","17,400,411,555,214","21,933,340,180,843"
9,III. Các khoản phải thu ngắn hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","12,017,068,866,490","12,088,573,389,226","11,442,353,878,129","13,651,233,983,157","12,395,905,255,490","14,388,217,249,275","11,897,006,324,608","12,517,594,104,350","11,493,940,814,367","13,706,202,541,621","12,395,905,255,490","14,388,217,249,275","11,956,030,036,944","12,088,573,389,226"
10,1. Phải thu ngắn hạn của khách hàng,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","11,338,059,710,694","11,211,036,415,429","10,185,702,776,969","12,724,033,352,438","11,285,590,973,992","13,093,500,621,166","10,249,365,545,395","11,638,714,431,744","10,209,586,664,879","12,770,674,095,070","11,285,590,973,992","13,093,500,621,166","11,372,743,615,574","11,211,036,415,429"
11,2. Trả trước cho người bán ngắn hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","586,497,008,011","638,092,077,015","712,488,768,092","816,754,259,936","590,039,561,303","741,432,085,759","804,215,052,286","817,937,544,171","712,794,521,881","822,649,658,468","590,039,561,303","741,432,085,759","470,004,588,146","638,092,077,015"
