No.,Indicator,Industry,Stocks,2023,2024,6M_2023,6M_2024,9M_2023,9M_2024,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024
1,A. TÀI SẢN NGẮN HẠN,Phần mềm,"FPT, CMG, ELC, PIA,","41,176,856,266,786","46,746,724,331,863","43,101,926,390,492","45,781,144,089,909","44,294,661,891,281","47,608,781,960,425","33,626,105,991,702","42,308,308,576,314","43,151,957,831,183","45,822,321,724,154","44,294,661,891,281","47,608,781,960,425","41,263,007,381,893","46,746,724,331,863"
2,I. Tiền và các khoản tương đương tiền,Phần mềm,"FPT, CMG, ELC, PIA,","9,000,644,223,945","9,637,339,168,495","6,730,217,171,219","7,570,970,694,455","7,896,778,263,547","8,745,271,933,375","3,586,504,967,948","6,956,772,470,143","6,730,073,826,165","7,540,934,666,883","7,896,778,263,547","8,745,271,933,375","9,015,920,680,617","9,637,339,168,495"
3,1. Tiền,Phần mềm,"FPT, CMG, ELC, PIA,","6,534,071,120,199","6,922,885,051,500","4,495,528,252,950","6,232,306,042,464","5,481,299,897,879","5,947,912,694,858","3,327,521,498,605","5,909,153,328,785","4,495,384,907,896","6,232,270,014,892","5,481,299,897,879","5,947,912,694,858","6,534,347,576,871","6,922,885,051,500"
4,2. Các khoản tương đương tiền,Phần mềm,"FPT, CMG, ELC, PIA,","2,466,573,103,746","2,714,454,116,995","2,234,688,918,269","1,338,664,651,991","2,415,478,365,668","2,797,359,238,517","258,983,469,343","1,047,619,141,358","2,234,688,918,269","1,308,664,651,991","2,415,478,365,668","2,797,359,238,517","2,481,573,103,746","2,714,454,116,995"
5,II. Đầu tư tài chính ngắn hạn,Phần mềm,"FPT, CMG, ELC, PIA,","17,328,426,700,214","21,933,868,963,443","21,470,824,691,241","21,180,164,691,492","20,733,962,016,106","20,800,691,260,819","14,786,290,200,117","19,491,600,760,207","21,470,824,691,241","21,210,171,291,492","20,733,962,016,106","20,800,691,260,819","17,315,426,700,214","21,933,868,963,443"
6,1. Chứng khoán kinh doanh,Phần mềm,"FPT, CMG, ELC, PIA,","723,320,938","749,959,368","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","723,320,938","749,959,368"
7,2. Dự phòng giảm giá chứng khoán kinh doanh,Phần mềm,"FPT, CMG, ELC, PIA,","-143,175,938","-221,176,768","-268,670,138","-146,850,538","-144,829,938","-131,512,538","-435,317,938","-143,175,938","-268,670,138","-146,850,538","-144,829,938","-131,512,538","-143,175,938","-221,176,768"
8,3. Đầu tư nắm giữ đến ngày đáo hạn,Phần mềm,"FPT, CMG, ELC, PIA,","17,327,846,555,214","21,933,340,180,843","21,470,370,040,441","21,179,588,221,092","20,733,383,525,106","20,800,099,452,419","14,786,002,197,117","19,491,020,615,207","21,470,370,040,441","21,209,594,821,092","20,733,383,525,106","20,800,099,452,419","17,314,846,555,214","21,933,340,180,843"
9,III. Các khoản phải thu ngắn hạn,Phần mềm,"FPT, CMG, ELC, PIA,","11,850,897,845,536","12,088,573,389,226","11,223,415,380,774","13,504,325,563,477","12,159,938,063,475","14,261,316,238,103","11,598,723,712,167","12,342,715,746,710","11,268,342,239,850","13,559,427,091,553","12,159,938,063,475","14,261,316,238,103","11,787,324,659,961","12,088,573,389,226"
10,1. Phải thu ngắn hạn của khách hàng,Phần mềm,"FPT, CMG, ELC, PIA,","11,102,593,825,132","11,211,036,415,429","9,981,786,202,250","12,556,514,607,316","10,999,719,888,721","12,914,129,205,928","9,950,127,473,631","11,440,360,149,239","10,005,545,090,160","12,603,288,265,120","10,999,719,888,721","12,914,129,205,928","11,137,292,535,184","11,211,036,415,429"
