Indicator,Industry,Stocks,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024
"Chi phí bán hàng/Doanh thu thuần
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",9.06,9.41,9.37,9.78,9.47,9.06,8.73,9.47
"Chi phí lãi vay/ Doanh thu thuần
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",1.28,1.01,1.66,0.99,1.77,0.83,1.34,0.75
"Chi phí quản lý doanh nghiệp/ Doanh thu thuần
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",12.66,12.13,11.05,10.43,11.76,10.28,12.61,9.82
"Chỉ số giá thị trường trên giá trị sổ sách (P/B)
Lần",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",2.93,4.24,3.06,5.34,3.78,5.07,3.74,6.11
"Chỉ số giá thị trường trên thu nhập (P/E)
Lần",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",15.04,21.01,16.51,23.74,17.63,24.03,17.76,26.69
"Doanh thu thuần
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",15.78,17.81,18.77,21.48,20.17,13.65,10.26,3.01
"Giá trị sổ sách của cổ phiếu (BVPS)
VNĐ",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","23,484","23,227","24,530","21,349","21,792","22,889","22,066","23,820"
"Giá vốn hàng bán/Doanh thu thuần
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",64.17,63.70,65.87,66.19,64.30,65.06,64.79,63.22
"Hàng tồn kho/Tài sản ngắn hạn
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",8.32,5.69,6.63,5.71,5.63,6.09,5.02,4.11
"Khả năng chi trả Nợ ngắn hạn từ dòng tiền HĐKD
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",-5.37,-2.02,0.00,0.00,0.00,0.00,0.00,0.00
"Khả năng chi trả Nợ ngắn hạn từ lưu chuyển tiền thuần trong kỳ
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",-12.24,-6.31,0.00,0.00,0.00,0.00,0.00,0.00
"Khả năng thanh toán lãi vay
Lần",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",13.50,17.03,10.50,16.53,9.64,20.36,11.95,23.52
"Lợi nhuận gộp
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",14.54,19.33,13.40,20.32,24.55,11.23,6.26,7.63
"Nợ dài hạn
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",-55.86,57.97,-53.92,55.87,-51.89,46.82,-35.37,-9.24
"Nợ phải trả
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",-22.03,22.97,-0.29,2.97,10.00,-3.25,14.28,3.20
"P/S
Lần",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",6.79,9.67,6.94,11.32,7.43,10.74,7.58,12.57
"Phải thu ngắn hạn/Tài sản ngắn hạn
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",35.32,29.65,27.03,29.90,28.34,30.35,29.30,25.86
"Thu nhập trên mỗi cổ phần (EPS)
VNĐ",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","4,612","4,751","4,580","4,778","4,627","4,800","4,683","5,435"
"Thời gian thu tiền khách hàng bình quân
Ngày",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",70.42,66.56,65.68,65.77,63.10,63.71,61.60,56.55
"Thời gian trả tiền khách hàng bình quân
Ngày",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",41.79,40.01,36.48,34.33,33.41,33.24,33.16,38.97
"Thời gian tồn kho bình quân
Ngày",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",30.02,21.69,27.56,20.55,21.48,21.67,17.26,15.33
"Tiền/Tài sản ngắn hạn
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",10.34,16.16,15.18,16.14,17.48,18.03,21.46,20.62
"Tài sản cố định hữu hình/Tài sản cố định
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",87.89,87.66,88.39,86.92,89.38,87.99,89.12,86.23
"Tài sản cố định/Tổng tài sản
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",23.81,22.50,20.80,22.08,21.52,21.38,22.84,20.17
"Tài sản dài hạn/Tổng tài sản
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",42.12,40.01,36.79,38.21,36.94,37.61,39.81,36.92
"Tài sản ngắn hạn khác/Tài sản ngắn hạn
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",3.49,3.33,2.80,3.02,3.00,3.09,3.26,2.49
"Tài sản ngắn hạn/Tổng tài sản
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",57.88,59.99,63.21,61.79,63.06,62.39,60.19,63.08
"Tài sản thuê tài chính/Tài sản cố định
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",0.30,0.22,0.35,0.29,0.17,0.28,0.20,0.01
"Tài sản vô hình/Tài sản cố định
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",11.81,12.12,11.25,12.79,10.45,11.73,10.67,13.75
"Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",18.78,20.03,17.39,21.08,16.88,20.75,26.09,19.29
"Tăng trưởng lợi nhuận trước thuế
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",17.54,19.16,16.40,18.14,19.23,19.62,21.48,18.93
"Tăng trưởng tổng tài sản
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",-5.32,19.31,8.62,8.03,12.95,8.54,15.47,3.94
"Tăng trưởng vốn chủ sở hữu
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",17.22,16.04,20.49,13.59,16.62,22.37,16.70,4.69
"Tăng trưởng vốn điều lệ
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",22.92,17.24,2.44,30.47,17.68,13.60,16.90,-3.02
"Tỷ lệ lãi EBIT
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",17.30,17.21,17.48,16.37,17.10,16.96,16.05,17.73
"Tỷ lệ lãi EBITDA
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",21.69,21.65,17.48,16.37,17.10,16.96,16.05,17.73
"Tỷ suất lợi nhuận gộp biên
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",35.83,36.30,34.13,33.81,35.70,34.94,35.21,36.78
"Tỷ suất lợi nhuận trên Vốn chủ sở hữu bình quân (ROEA)
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",6.07,6.20,6.02,6.32,6.63,6.73,6.27,6.59
"Tỷ suất sinh lợi trên Tổng tài sàn bình quân (ROAA)
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",2.55,2.61,2.45,2.62,2.59,2.89,2.52,2.83
"Tỷ suất sinh lợi trên doanh thu thuần
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",13.66,13.80,13.32,13.20,13.06,13.77,12.37,14.30
"Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE)
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",7.21,7.33,7.56,7.37,8.29,7.82,7.76,7.78
"Tỷ số Nợ ngắn hạn trên Tổng nợ phải trả
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",94.89,93.44,95.88,93.76,95.91,93.79,95.31,95.87
"Tỷ số Nợ ngắn hạn trên Vốn chủ sở hữu
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",85.13,88.83,105.60,93.61,112.51,86.99,96.35,95.54
