Indicator,Industry,Stocks,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024
"Chi phí bán hàng/Doanh thu thuần
%",Phần mềm,"FPT, CMG, ELC, PIA,",8.99,9.35,9.42,9.82,9.57,9.13,8.76,9.47
"Chi phí lãi vay/ Doanh thu thuần
%",Phần mềm,"FPT, CMG, ELC, PIA,",1.22,0.97,1.63,0.97,1.76,0.82,1.32,0.75
"Chi phí quản lý doanh nghiệp/ Doanh thu thuần
%",Phần mềm,"FPT, CMG, ELC, PIA,",12.61,12.09,11.08,10.54,11.65,10.32,12.61,9.82
"Chỉ số giá thị trường trên giá trị sổ sách (P/B)
Lần",Phần mềm,"FPT, CMG, ELC, PIA,",2.97,4.28,3.10,5.40,3.82,5.13,3.79,6.11
"Chỉ số giá thị trường trên thu nhập (P/E)
Lần",Phần mềm,"FPT, CMG, ELC, PIA,",14.99,20.84,16.42,23.54,17.50,24.01,17.59,26.69
"Doanh thu thuần
%",Phần mềm,"FPT, CMG, ELC, PIA,",16.17,18.24,19.05,22.19,18.87,14.45,10.40,5.25
"Giá trị sổ sách của cổ phiếu (BVPS)
VNĐ",Phần mềm,"FPT, CMG, ELC, PIA,","23,725","23,481","24,804","21,525","21,999","23,089","22,277","23,820"
"Giá vốn hàng bán/Doanh thu thuần
%",Phần mềm,"FPT, CMG, ELC, PIA,",64.02,63.62,65.68,65.98,63.72,64.74,64.54,63.22
"Hàng tồn kho/Tài sản ngắn hạn
%",Phần mềm,"FPT, CMG, ELC, PIA,",7.79,5.28,6.16,5.06,5.22,5.33,4.61,4.11
"Khả năng chi trả Nợ ngắn hạn từ dòng tiền HĐKD
%",Phần mềm,"FPT, CMG, ELC, PIA,",-5.57,-2.01,0.00,0.00,0.00,0.00,0.00,0.00
"Khả năng chi trả Nợ ngắn hạn từ lưu chuyển tiền thuần trong kỳ
%",Phần mềm,"FPT, CMG, ELC, PIA,",-12.47,-6.22,0.00,0.00,0.00,0.00,0.00,0.00
"Khả năng thanh toán lãi vay
Lần",Phần mềm,"FPT, CMG, ELC, PIA,",14.44,17.86,10.79,16.88,10.04,20.97,12.29,23.52
"Lợi nhuận gộp
%",Phần mềm,"FPT, CMG, ELC, PIA,",14.07,19.56,12.23,21.11,23.94,11.25,6.60,9.19
"Nợ dài hạn
%",Phần mềm,"FPT, CMG, ELC, PIA,",-56.32,57.02,-54.32,52.11,-52.79,46.19,-36.33,-7.09
"Nợ phải trả
%",Phần mềm,"FPT, CMG, ELC, PIA,",-23.71,24.40,-1.73,3.33,8.40,-3.07,15.31,5.34
"P/S
Lần",Phần mềm,"FPT, CMG, ELC, PIA,",6.85,9.73,7.07,11.49,7.62,10.96,7.72,12.57
"Phải thu ngắn hạn/Tài sản ngắn hạn
%",Phần mềm,"FPT, CMG, ELC, PIA,",34.50,29.31,26.30,29.67,27.64,30.17,28.83,25.86
"Thu nhập trên mỗi cổ phần (EPS)
VNĐ",Phần mềm,"FPT, CMG, ELC, PIA,","4,732","4,901","4,706","4,921","4,766","4,907","4,874","5,435"
"Thời gian thu tiền khách hàng bình quân
Ngày",Phần mềm,"FPT, CMG, ELC, PIA,",67.50,65.40,63.96,65.38,61.61,63.50,60.51,56.55
"Thời gian trả tiền khách hàng bình quân
Ngày",Phần mềm,"FPT, CMG, ELC, PIA,",40.09,39.40,35.24,33.83,32.63,32.99,32.46,38.97
"Thời gian tồn kho bình quân
Ngày",Phần mềm,"FPT, CMG, ELC, PIA,",27.70,20.01,25.67,18.23,20.18,19.13,15.91,15.33
"Tiền/Tài sản ngắn hạn
%",Phần mềm,"FPT, CMG, ELC, PIA,",10.52,16.24,15.36,16.26,17.66,18.16,21.57,20.62
"Tài sản cố định hữu hình/Tài sản cố định
%",Phần mềm,"FPT, CMG, ELC, PIA,",88.03,87.88,88.60,87.20,89.59,88.28,89.33,86.23
"Tài sản cố định/Tổng tài sản
%",Phần mềm,"FPT, CMG, ELC, PIA,",24.10,22.57,20.98,22.18,21.73,21.50,22.99,20.17
"Tài sản dài hạn/Tổng tài sản
%",Phần mềm,"FPT, CMG, ELC, PIA,",42.58,40.17,37.09,38.41,37.26,37.83,40.08,36.92
"Tài sản ngắn hạn khác/Tài sản ngắn hạn
%",Phần mềm,"FPT, CMG, ELC, PIA,",3.57,3.36,2.85,3.03,3.04,3.09,3.31,2.49
"Tài sản ngắn hạn/Tổng tài sản
%",Phần mềm,"FPT, CMG, ELC, PIA,",57.42,59.83,62.91,61.59,62.74,62.17,59.92,63.08
"Tài sản thuê tài chính/Tài sản cố định
%",Phần mềm,"FPT, CMG, ELC, PIA,",0.20,0.02,0.17,0.02,0.02,0.01,0.02,0.01
"Tài sản vô hình/Tài sản cố định
%",Phần mềm,"FPT, CMG, ELC, PIA,",11.77,12.10,11.23,12.78,10.39,11.71,10.64,13.75
"Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ
%",Phần mềm,"FPT, CMG, ELC, PIA,",20.11,19.46,16.58,21.17,20.21,17.80,27.78,19.25
"Tăng trưởng lợi nhuận trước thuế
%",Phần mềm,"FPT, CMG, ELC, PIA,",18.47,18.84,15.96,18.26,21.37,17.60,23.40,19.18
"Tăng trưởng tổng tài sản
%",Phần mềm,"FPT, CMG, ELC, PIA,",-6.50,20.21,7.62,8.42,11.98,8.84,16.22,5.78
"Tăng trưởng vốn chủ sở hữu
%",Phần mềm,"FPT, CMG, ELC, PIA,",16.91,16.48,20.15,14.01,16.45,22.72,17.15,6.21
"Tăng trưởng vốn điều lệ
%",Phần mềm,"FPT, CMG, ELC, PIA,",21.84,17.73,1.19,31.37,16.67,13.94,17.26,-0.67
"Tỷ lệ lãi EBIT
%",Phần mềm,"FPT, CMG, ELC, PIA,",17.56,17.40,17.65,16.48,17.71,17.21,16.32,17.73
"Tỷ lệ lãi EBITDA
%",Phần mềm,"FPT, CMG, ELC, PIA,",21.94,21.83,17.65,16.48,17.71,17.21,16.32,17.73
