Date,Total Volume,Total Value,Market Cap,Closing Price,Price Change,Price Change %,Matched Volume,Matched Value,Foreign Investor Room,Remaining Room Shares,Remaining Room %,Matched Buy Volume,Matched Buy Value,Matched Sell Volume,Matched Sell Value,Negotiated Buy Volume,Negotiated Buy Value,Negotiated Sell Volume,Negotiated Sell Value,Total Buy Volume,Total Buy Value,Total Sell Volume,Total Sell Value
2024-03-26,3110290.0,365684.0,146046421.0,115000.0,1000.0,0.88,1693300.0,193338.0,622284748.0,0.0,0.0,0.0,0.0,6200.0,707.0,1390790.0,169537.0,1390790.0,169537.0,1390790.0,169537.0,1396990.0,170244.0
2024-03-27,1467800.0,168909.0,146300414.0,115200.0,200.0,0.17,1320200.0,151372.0,622284748.0,0.0,0.0,0.0,0.0,1700.0,194.0,40000.0,4920.0,40000.0,4920.0,40000.0,4920.0,41700.0,5114.0
2024-03-28,2854400.0,333719.0,148713355.0,117100.0,1900.0,1.65,2803200.0,327411.0,622284748.0,0.0,0.0,0.0,0.0,0.0,0.0,51200.0,6308.0,51200.0,6308.0,51200.0,6308.0,51200.0,6308.0
2024-03-29,2594300.0,310422.0,147951374.0,116500.0,-600.0,-0.51,1343500.0,156545.0,622284748.0,0.0,0.0,0.0,0.0,200.0,23.0,924600.0,115760.0,924600.0,115760.0,924600.0,115760.0,924800.0,115783.0
2024-04-01,3243600.0,387065.0,148332365.0,116800.0,300.0,0.26,1974600.0,229434.0,622284748.0,0.0,0.0,1700.0,197.0,8440.0,972.0,799000.0,99555.0,799000.0,99555.0,800700.0,99753.0,807440.0,100527.0
2024-04-02,2745500.0,322787.0,148586358.0,117000.0,200.0,0.17,2285800.0,265370.0,622284748.0,0.0,0.0,0.0,0.0,224.0,23.0,459700.0,57417.0,459700.0,57417.0,459700.0,57417.0,459924.0,57440.0
2024-04-03,2875000.0,336276.0,146173418.0,115100.0,-1900.0,-1.62,2549000.0,295493.0,622284748.0,0.0,0.0,0.0,0.0,4821.0,562.0,326000.0,40783.0,326000.0,40783.0,326000.0,40783.0,330821.0,41344.0
2024-04-04,2930000.0,340949.0,144776452.0,114000.0,-1100.0,-0.96,2359500.0,270720.0,622284748.0,0.0,0.0,8440.0,966.0,15.0,0.0,570500.0,70229.0,570500.0,70229.0,578940.0,71195.0,570515.0,70229.0
2024-04-05,2840844.0,322836.0,144395461.0,113700.0,-300.0,-0.26,2759000.0,312859.0,622284748.0,0.0,0.0,0.0,0.0,800.0,91.0,81800.0,9971.0,81800.0,9971.0,81800.0,9971.0,82600.0,10062.0
2024-04-08,1952000.0,220502.0,142998495.0,112600.0,-1100.0,-0.97,1952000.0,220502.0,622284748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,1432500.0,161738.0,143506483.0,113000.0,400.0,0.36,1432500.0,161738.0,622284748.0,0.0,0.0,15.0,0.0,13148.0,1479.0,0.0,0.0,0.0,0.0,15.0,0.0,13148.0,1479.0
2024-04-10,1982020.0,227719.0,144522458.0,113800.0,800.0,0.71,1791100.0,204637.0,622284748.0,0.0,0.0,844.0,91.0,100.0,11.0,190920.0,23082.0,190920.0,23082.0,191764.0,23173.0,191020.0,23094.0
2024-04-11,1623300.0,186677.0,145919424.0,114900.0,1100.0,0.97,1549400.0,177683.0,622284748.0,0.0,0.0,0.0,0.0,0.0,0.0,73900.0,8994.0,73900.0,8994.0,73900.0,8994.0,73900.0,8994.0
2024-04-12,1862520.0,216516.0,146681405.0,115500.0,600.0,0.52,1367300.0,157333.0,622284748.0,13148.0,0.0,13100.0,1518.0,0.0,0.0,390220.0,47958.0,390220.0,47958.0,403320.0,49476.0,390220.0,47958.0
2024-04-15,4289300.0,491287.0,141728526.0,111600.0,-3900.0,-3.38,3701900.0,418743.0,622284748.0,0.0,0.0,100.0,12.0,0.0,0.0,587400.0,72544.0,587400.0,72544.0,587500.0,72555.0,587400.0,72544.0
2024-04-16,4523200.0,513918.0,143506483.0,113000.0,1400.0,1.25,3642700.0,408786.0,622284748.0,0.0,0.0,0.0,0.0,7701.0,866.0,880500.0,105132.0,880500.0,105132.0,880500.0,105132.0,888201.0,105997.0
2024-04-17,2998100.0,344269.0,141982520.0,111800.0,-1200.0,-1.06,1943300.0,218044.0,622284748.0,0.0,0.0,0.0,0.0,10933.0,1226.0,972500.0,117575.0,972500.0,117575.0,972500.0,117575.0,983433.0,118801.0
2024-04-19,7851100.0,887183.0,138426607.0,109000.0,-2800.0,-2.5,5361100.0,589379.0,622284748.0,0.0,0.0,0.0,0.0,6600.0,727.0,2490000.0,297804.0,2490000.0,297804.0,2490000.0,297804.0,2496600.0,298531.0
2024-04-22,2505218.0,276687.0,140077567.0,110300.0,1300.0,1.19,2397300.0,264104.0,622284748.0,0.0,0.0,0.0,0.0,21900.0,2417.0,107900.0,12581.0,107918.0,12581.0,107900.0,12581.0,129818.0,14998.0
2024-04-23,4233700.0,472701.0,142617505.0,112300.0,2000.0,1.81,4037600.0,451063.0,622284748.0,0.0,0.0,0.0,0.0,0.0,0.0,98600.0,11635.0,98600.0,11635.0,98600.0,11635.0,98600.0,11635.0
2024-04-24,10945700.0,1299239.0,152523262.0,120100.0,7800.0,6.95,10158700.0,1204720.0,622284748.0,0.0,0.0,1800.0,204.0,5150.0,612.0,787000.0,94519.0,787000.0,94519.0,788800.0,94723.0,792150.0,95131.0
2024-04-25,9215500.0,1158686.0,156460165.0,123200.0,3100.0,2.58,5707700.0,708164.0,622284748.0,21918.0,0.0,0.0,0.0,3200.0,398.0,3487800.0,448182.0,3465900.0,445368.0,3487800.0,448182.0,3469100.0,445766.0
2024-04-26,6053000.0,769750.0,156460165.0,123200.0,0.0,0.0,3396500.0,419623.0,622284748.0,0.0,0.0,0.0,0.0,13000.0,1604.0,2656500.0,350127.0,2656500.0,350127.0,2656500.0,350127.0,2669500.0,351730.0
2024-05-02,6888000.0,890470.0,161667038.0,127300.0,4100.0,3.33,3469300.0,439885.0,622284748.0,5150.0,0.0,5100.0,631.0,19300.0,2413.0,3418700.0,450585.0,3418700.0,450585.0,3423800.0,451216.0,3438000.0,452997.0
2024-05-03,4665500.0,601728.0,159889081.0,125900.0,-1400.0,-1.1,3191200.0,403104.0,622284748.0,0.0,0.0,3200.0,410.0,100.0,13.0,1474300.0,198217.0,1474300.0,198217.0,1477500.0,198627.0,1474400.0,198230.0
2024-05-06,2744600.0,346861.0,162048028.0,127600.0,1700.0,1.35,2704600.0,341473.0,622284748.0,0.0,0.0,13000.0,1645.0,0.0,0.0,40000.0,5388.0,40000.0,5388.0,53000.0,7033.0,40000.0,5388.0
2024-05-07,3874168.0,508754.0,166746913.0,131300.0,3700.0,2.9,3122800.0,406192.0,622284748.0,19454.0,0.0,19400.0,2483.0,4200.0,546.0,738400.0,100792.0,738400.0,100792.0,757800.0,103275.0,742600.0,101338.0
2024-05-08,3824500.0,503976.0,166365923.0,131000.0,-300.0,-0.23,3017800.0,392617.0,622284748.0,0.0,0.0,100.0,13.0,95.0,0.0,806700.0,111359.0,806700.0,111359.0,806800.0,111372.0,806795.0,111359.0
2024-05-09,3041600.0,399651.0,165476944.0,130300.0,-700.0,-0.53,2203300.0,288297.0,622284748.0,0.0,0.0,0.0,0.0,3917.0,510.0,638248.0,86967.0,638300.0,86967.0,638248.0,86967.0,642217.0,87478.0
