No,StockID,Transaction Type,Executor Name,Executor Position,Related Person Name,Related Person Position,Relation,Before Transaction Volume,Before Transaction Percentage,Registered Transaction Volume,Registered From Date,Registered To Date,Executed Transaction Volume,Executed From Date,Executed To Date,After Transaction Volume,After Transaction Percentage
1,FPT,GD CĐ nội bộ,Bùi Quang Ngọc,Phó CTHĐQT,,,,"23,961,492",1.63,"-2,000,000",06/02/2025,28/02/2025,"-2,000,000",11/02/2025,11/02/2025,"21,961,492",1.49
2,FPT,GD CĐ nội bộ,Nguyễn Việt Thắng,TBKS,,,,"185,841",,"-60,000",17/10/2024,15/11/2024,"-60,000",17/10/2024,13/11/2024,"125,841",
3,FPT,GD của người liên quan,Đỗ Thị Ngọc Mai,,Đỗ Cao Bảo,TV HĐQT,Con,"1,046,636",,"75,659",08/10/2024,09/10/2024,,,,,
4,FPT,GD CĐ nội bộ,Mai Thị Lan Anh,Người ủy quyền CBTT,,,,36,,"3,025",08/10/2024,09/10/2024,,,,,
5,FPT,GD CĐ nội bộ,Nguyễn Khải Hoàn,TV BKS,,,,"1,234,527",,"182,203",08/10/2024,09/10/2024,,,,,
6,FPT,GD CĐ nội bộ,Nguyễn Việt Thắng,TBKS,,,,"170,711",,"15,130",08/09/2024,09/09/2024,,,,,
7,FPT,GD CĐ nội bộ,Hoàng Hữu Chiến,KTT,,,,"657,657",,"86,422",08/09/2024,09/09/2024,,,,,
8,FPT,GD CĐ nội bộ,Phạm Minh Tuấn,Phó TGĐ,,,,"556,826",,"1,161,702",08/10/2024,09/10/2024,,,,,
9,FPT,GD CĐ nội bộ,Nguyễn Thế Phương,"Phó TGĐ, GĐ Tài chính",,,,"4,750,998",,"216,313",08/10/2024,09/10/2024,,,,,
10,FPT,GD CĐ nội bộ,Nguyễn Văn Khoa,TGĐ,,,,"3,962,387",,"360,414",08/10/2024,09/10/2024,,,,,
11,FPT,GD CĐ nội bộ,Nguyễn Khải Hoàn,TV BKS,,,,"1,173,502",,"-100,000",07/03/2024,01/04/2024,"-100,000",11/03/2024,11/03/2024,"1,073,502",
12,FPT,GD CĐ nội bộ,Nguyễn Việt Thắng,TV BKS,,,,"183,445",0.01,"-35,000",30/01/2024,28/02/2024,"-35,000",02/02/2024,02/02/2024,"148,445",0.01
13,FPT,GD CĐ nội bộ,Nguyễn Việt Thắng,TBKS,,,,"183,445",,"-35,000",09/01/2024,19/01/2024,,09/01/2024,19/01/2024,"183,445",0.01
14,FPT,GD CĐ nội bộ,Đỗ Cao Bảo,TV HĐQT,,,,"14,307,506",,"-2,250,000",21/09/2023,20/10/2023,"-2,250,000",21/09/2023,10/10/2023,"12,057,506",
15,FPT,GD của người liên quan,Nguyễn Thị Dư,,Đỗ Cao Bảo,TV HĐQT,Vợ,"276,220",0.02,"550,000",10/10/2023,08/11/2023,"550,000",10/10/2023,10/10/2023,"826,220",0.07
16,FPT,GD của người liên quan,Đỗ Bảo Dương,,Đỗ Cao Bảo,TV HĐQT,,"317,400",,"500,000",21/09/2023,20/10/2023,"500,000",21/09/2023,29/09/2023,"817,400",
17,FPT,GD của người liên quan,Đỗ Thị Ngọc Mai,,Đỗ Cao Bảo,TV HĐQT,Con,"409,519",,"500,000",21/09/2023,20/10/2023,"500,000",21/09/2023,27/09/2023,"909,519",
18,FPT,GD của người liên quan,Nguyễn Thị Dư,,Đỗ Cao Bảo,TV HĐQT,Vợ,"26,220",,"250,000",21/09/2023,20/10/2023,"250,000",21/09/2023,27/09/2023,"276,220",
19,FPT,GD CĐ lớn,Nhóm CĐ lớn - Amersham Industries Limited,,,,,,,,,,"603,600",29/08/2023,29/08/2023,"63,909,958",5.03
20,FPT,GD CĐ nội bộ,Bùi Quang Ngọc,Phó CTHĐQT,,,,"24,836,081",1.96,"-4,000,000",19/07/2023,13/08/2023,"-4,000,000",24/07/2023,24/07/2023,"20,836,081",1.64
21,FPT,GD CĐ nội bộ,Nguyễn Khải Hoàn,TV BKS,,,,"842,389",,"178,048",04/05/2032,08/05/2023,"178,048",04/05/2032,08/05/2023,"842,389",
22,FPT,GD CĐ nội bộ,Nguyễn Việt Thắng,TBKS,,,,"143,389",,"16,129",04/05/2032,08/05/2023,"16,129",04/05/2032,08/05/2023,"159,518",
23,FPT,GD CĐ nội bộ,Hoàng Hữu Chiến,KTT,,,,"421,372",,"75,912",04/05/2023,08/05/2023,"75,912",04/05/2023,08/05/2023,"497,284",
24,FPT,GD CĐ nội bộ,Hoàng Việt Anh,Phó TGĐ,,,,"2,170,895",,"340,628",04/05/2023,08/05/2023,"340,628",04/05/2023,08/05/2023,"2,511,523",
25,FPT,GD CĐ nội bộ,Nguyễn Thế Phương,"Phó TGĐ, GĐ Tài chính",,,,"3,122,149",,"470,289",04/05/2023,08/05/2023,"470,289",04/05/2023,08/05/2023,"3,592,438",
26,FPT,GD CĐ nội bộ,Nguyễn Văn Khoa,TGĐ,,,,"2,475,490",,"520,645",04/05/2023,08/05/2023,"520,645",04/05/2023,08/05/2023,"2,475,490",
27,FPT,GD CĐ nội bộ,Đỗ Cao Bảo,TV HĐQT,,,,"12,384,892",,"59,419",04/05/2023,04/05/2023,"59,419",04/05/2023,04/05/2023,"12,444,311",
28,FPT,GD CĐ nội bộ,Bùi Quang Ngọc,Phó CTHĐQT,,,,"21,524,013",,"72,580",04/05/2023,08/05/2023,"72,580",04/05/2023,08/05/2023,"21,596,593",
29,FPT,GD CĐ nội bộ,Trương Gia Bình,CTHĐQT,,,,"76,937,201",,"220,993",04/05/2023,08/05/2023,"220,993",04/05/2023,08/05/2023,"77,158,194",
1,CMG,GD cổ phiếu quỹ,,,,,,,,,,,"38,800",25/02/2025,25/02/2025,"38,800",
2,CMG,GD của người liên quan,Nguyễn Hương Lan,,Đặng Tùng Sơn,GĐ,,"68,400",,"-68,400",27/11/2024,22/12/2024,"-68,400",27/11/2024,09/12/2024,,
3,CMG,GD cổ phiếu quỹ,,,,,,"190,397,496",,"44,900",01/10/2024,31/12/2024,,,,,
4,CMG,GD CĐ nội bộ,Nguyễn Phước Hải,TV HĐQT,,,,"3,111,592",1.63,"50,000",13/09/2024,12/10/2024,,13/09/2024,12/10/2024,"3,111,592",1.63
5,CMG,GD CĐ nội bộ,Nguyễn Phước Hải,TV HĐQT,,,,"3,111,592",1.63,"500,000",09/08/2024,07/09/2024,,09/08/2024,07/09/2024,"3,111,592",1.63
6,CMG,GD CĐ nội bộ,Nguyễn Phước Hải,TV HĐQT,,,,"3,411,592",,"-300,000",20/05/2024,18/06/2024,"-300,000",20/05/2024,14/06/2024,"3,111,592",
7,CMG,GD CĐ lớn,Pyn Elite Fund (Non - Ucits),,,,,,,,,,"-500,000",30/05/2024,30/05/2024,"10,959,279",5.77
8,CMG,GD của người liên quan,Công ty TNHH TM & Dịch vụ DTSC,,Nguyễn Minh Đức,TV HĐQT,,"138,874",,"-28,874",20/05/2024,18/06/2024,"-33,874",20/05/2024,03/06/2024,"105,000",
9,CMG,GD CĐ nội bộ,Đặng Ngọc Bảo,Phó CTHĐQT,,,,"32,685",,"23,600",20/05/2024,25/05/2024,"23,600",21/05/2024,21/05/2024,"56,285",
10,CMG,GD CĐ nội bộ,Nguyễn Minh Tuệ,TV BKS,,,,"8,203",,"7,500",15/05/2024,25/05/2024,"7,500",20/05/2024,20/05/2024,"15,703",
11,CMG,GD CĐ lớn,Pyn Elite Fund (Non - Ucits),,,,,,,,,,"-500,000",17/05/2024,17/05/2024,"12,941,279",6.81
12,CMG,GD CĐ nội bộ,Nguyễn Trung Chính,CTHĐQT,,,,"1,919,987",,"30,600",16/05/2024,25/05/2024,"30,600",17/05/2024,17/05/2024,"1,950,587",
13,CMG,GD CĐ nội bộ,Ngô Trọng Hiếu,Phó CTHĐQT,,,,,,"53,845",17/05/2024,25/05/2024,"22,800",20/05/2024,20/05/2024,"53,845",
14,CMG,GD CĐ nội bộ,Lê Thanh Sơn,"GĐ Tài chính, Thành viên",,,,"118,739",,"14,000",17/05/2024,25/05/2024,"14,000",20/05/2024,20/05/2024,"132,739",
15,CMG,GD CĐ nội bộ,Hồ Thanh Tùng,TGĐ,,,,"47,577",,"9,000",17/05/2024,25/05/2024,"9,000",20/05/2024,20/05/2024,"56,577",
16,CMG,GD của người liên quan,Võ Thanh Hải,,Nguyễn Phước Hải,TV HĐQT,Anh,,,,,,"10,000",15/04/2024,15/04/2024,"16,748",
17,CMG,GD CĐ lớn,Geleximco,,,,,,,,,,"-720,600",26/03/2024,26/03/2024,"9,217,189",4.85
18,CMG,GD CĐ lớn,Geleximco,,,,,,,,,,"-360,100",05/03/2024,05/03/2024,"11,362,689",5.98
19,CMG,GD CĐ lớn,Geleximco,,,,,,,,,,"-439,200",28/12/2023,28/12/2023,"10,358,435",6.88
20,CMG,GD CĐ nội bộ,Nguyễn Phước Hải,TV HĐQT,,,,"2,982,895",,"-350,000",21/11/2023,20/12/2023,"-345,000",21/11/2023,20/12/2023,"2,637,895",
21,CMG,GD CĐ lớn,Pyn Elite Fund (Non - Ucits),,,,,,,,,,"200,000",11/12/2023,11/12/2023,"10,723,360",7.12
22,CMG,GD CĐ lớn,Geleximco,,,,,,,,,,"-195,900",21/11/2023,21/11/2023,"11,860,335",7.88
23,CMG,GD CĐ nội bộ,Nguyễn Phước Hải,TV HĐQT,,,,"3,144,195",,"-400,000",18/10/2023,15/11/2023,"-161,300",18/10/2023,15/11/2023,"2,982,895",
24,CMG,GD cổ phiếu quỹ,,,,,,,,,,,"18,100",22/09/2023,22/09/2023,"18,100",
25,CMG,GD CĐ nội bộ,Nguyễn Phước Hải,TV HĐQT,,,,"3,270,995",2.17,"-200,000",09/08/2023,07/09/2023,"-126,800",09/08/2023,07/09/2023,"3,144,195",2.04
26,CMG,GD CĐ lớn,Geleximco,,,,,,,,,,"-1,502,100",29/08/2023,29/08/2023,"13,516,535",8.97
27,CMG,GD CĐ nội bộ,Nguyễn Minh Đức,TV HĐQT,,,,,,"3,470,870",04/08/2023,02/09/2023,"3,470,870",04/08/2023,09/08/2023,"3,470,870",2.3
28,CMG,GD của người liên quan,CT TNHH Đầu tư Mỹ Linh,,Nguyễn Trung Chính,CTHĐQT,,"6,199,587",4.12,"1,500,000",02/08/2023,31/08/2023,"1,500,000",02/08/2023,02/08/2023,"7,699,587",5.11
29,CMG,GD CĐ nội bộ,Nguyễn Trung Chính,CTHĐQT,,,,"1,171,385",0.78,"350,000",02/08/2023,31/08/2023,"350,000",02/08/2023,02/08/2023,"1,521,385",1.01
