Date,GT_Khop,KL_Khop,KL_Ban,KL_Mua
26/3/2024,5008978,48078100,71546400,67035400
27/3/2024,5008978,48078100,71546400,67035400
28/3/2024,5008978,48078100,71546400,67035400
29/3/2024,5008978,48078100,71546400,67035400
30/3/2024,5008978,48078100,71546400,67035400
31/3/2024,5008978,48078100,71546400,67035400
1/4/2024,7784914,68853100,121896600,126321700
2/4/2024,7784914,68853100,121896600,126321700
3/4/2024,7784914,68853100,121896600,126321700
4/4/2024,7784914,68853100,121896600,126321700
5/4/2024,7784914,68853100,121896600,126321700
6/4/2024,7784914,68853100,121896600,126321700
7/4/2024,7784914,68853100,121896600,126321700
8/4/2024,7784914,68853100,121896600,126321700
9/4/2024,7784914,68853100,121896600,126321700
10/4/2024,7784914,68853100,121896600,126321700
11/4/2024,7784914,68853100,121896600,126321700
12/4/2024,7784914,68853100,121896600,126321700
13/4/2024,7784914,68853100,121896600,126321700
14/4/2024,7784914,68853100,121896600,126321700
15/4/2024,7784914,68853100,121896600,126321700
16/4/2024,7784914,68853100,121896600,126321700
17/4/2024,7784914,68853100,121896600,126321700
18/4/2024,7784914,68853100,121896600,126321700
19/4/2024,7784914,68853100,121896600,126321700
20/4/2024,7784914,68853100,121896600,126321700
21/4/2024,7784914,68853100,121896600,126321700
22/4/2024,7784914,68853100,121896600,126321700
23/4/2024,7784914,68853100,121896600,126321700
24/4/2024,7784914,68853100,121896600,126321700
25/4/2024,7784914,68853100,121896600,126321700
26/4/2024,7784914,68853100,121896600,126321700
27/4/2024,7784914,68853100,121896600,126321700
28/4/2024,7784914,68853100,121896600,126321700
29/4/2024,7784914,68853100,121896600,126321700
30/4/2024,7784914,68853100,121896600,126321700
1/5/2024,6978395,60367000,102734100,121793000
2/5/2024,6978395,60367000,102734100,121793000
3/5/2024,6978395,60367000,102734100,121793000
4/5/2024,6978395,60367000,102734100,121793000
5/5/2024,6978395,60367000,102734100,121793000
6/5/2024,6978395,60367000,102734100,121793000
7/5/2024,6978395,60367000,102734100,121793000
8/5/2024,6978395,60367000,102734100,121793000
9/5/2024,6978395,60367000,102734100,121793000
10/5/2024,6978395,60367000,102734100,121793000
11/5/2024,6978395,60367000,102734100,121793000
12/5/2024,6978395,60367000,102734100,121793000
13/5/2024,6978395,60367000,102734100,121793000
14/5/2024,6978395,60367000,102734100,121793000
