Date,GT_Khop,KL_Khop,KL_Ban,KL_Mua
2024-03-26,"5,008,978","48,078,100","71,546,400","67,035,400"
2024-03-27,"5,008,978","48,078,100","71,546,400","67,035,400"
2024-03-28,"5,008,978","48,078,100","71,546,400","67,035,400"
2024-03-29,"5,008,978","48,078,100","71,546,400","67,035,400"
2024-03-30,"5,008,978","48,078,100","71,546,400","67,035,400"
2024-03-31,"5,008,978","48,078,100","71,546,400","67,035,400"
2024-04-01,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-02,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-03,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-04,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-05,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-06,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-07,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-08,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-09,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-10,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-11,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-12,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-13,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-14,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-15,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-16,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-17,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-18,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-19,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-20,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-21,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-22,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-23,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-24,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-25,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-26,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-27,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-28,"7,784,914","68,853,100","121,896,600","126,321,700"
2024-04-29,"7,784,914","68,853,100","121,896,600","126,321,700"
