Date,Beta,P/S,P/B,P/E,EPS,ROE,ROA,ROC
26/3/2024,0.77,8.31,4.08,17.55,5476.00,5.92,2.82,8.85
27/3/2024,0.77,8.31,4.08,17.55,5476.00,5.92,2.82,8.85
28/3/2024,0.77,8.31,4.08,17.55,5476.00,5.92,2.82,8.85
29/3/2024,0.77,8.31,4.08,17.55,5476.00,5.92,2.82,8.85
30/3/2024,0.77,8.31,4.08,17.55,5476.00,5.92,2.82,8.85
31/3/2024,0.77,8.31,4.08,17.55,5476.00,5.92,2.82,8.85
1/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
2/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
3/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
4/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
5/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
6/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
7/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
8/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
9/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
10/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
11/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
12/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
13/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
14/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
15/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
16/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
17/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
18/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
19/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
20/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
21/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
22/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
23/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
24/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
25/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
26/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
27/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
28/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
29/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
30/4/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
1/5/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
2/5/2024,0.76,10.5,4.66,21.02,5541.00,5.83,2.94,8.39
