Date,Total Volume,Total Value,Market Cap,Closing Price,Price Change,Price Change %,Matched Volume,Matched Value,sentiment_score,Foreign Investor Room,Remaining Room Shares,Remaining Room %,Matched Buy Volume,Matched Buy Value,Matched Sell Volume,Matched Sell Value,Negotiated Buy Volume,Negotiated Buy Value,Negotiated Sell Volume,Negotiated Sell Value,Total Buy Volume,Total Buy Value,Total Sell Volume,Total Sell Value,EPS,P/E,P/B,P/S,Loi nhuan,GT_Khop,KL_Khop,KL_Ban,KL_Mua
2024-03-26,3110290,365684,146046421,115000,1000,0.88,1693300,193338,1.0,622284748.0,0.0,0.0,0.0,0.0,6200.0,707.0,1390790.0,169537.0,1390790.0,169537.0,1390790.0,169537.0,1396990.0,170244.0,5476,4.08,17.55,8.31,1728400000000.0,5008978,48078100,71546400,67035400
2024-03-27,1467800,168909,146300414,115200,200,0.17,1320200,151372,1.0,622284748.0,0.0,0.0,0.0,0.0,1700.0,194.0,40000.0,4920.0,40000.0,4920.0,40000.0,4920.0,41700.0,5114.0,5476,4.08,17.55,8.31,1728400000000.0,5008978,48078100,71546400,67035400
2024-03-28,2854400,333719,148713355,117100,1900,1.65,2803200,327411,2.0,622284748.0,0.0,0.0,0.0,0.0,0.0,0.0,51200.0,6308.0,51200.0,6308.0,51200.0,6308.0,51200.0,6308.0,5476,4.08,17.55,8.31,1728400000000.0,5008978,48078100,71546400,67035400
2024-03-29,2594300,310422,147951374,116500,-600,-0.51,1343500,156545,1.0,622284748.0,0.0,0.0,0.0,0.0,200.0,23.0,924600.0,115760.0,924600.0,115760.0,924600.0,115760.0,924800.0,115783.0,5476,4.08,17.55,8.31,1728400000000.0,5008978,48078100,71546400,67035400
2024-04-01,3243600,387065,148332365,116800,300,0.26,1974600,229434,2.0,622284748.0,0.0,0.0,1700.0,197.0,8440.0,972.0,799000.0,99555.0,799000.0,99555.0,800700.0,99753.0,807440.0,100527.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-02,2745500,322787,148586358,117000,200,0.17,2285800,265370,2.0,622284748.0,0.0,0.0,0.0,0.0,224.0,23.0,459700.0,57417.0,459700.0,57417.0,459700.0,57417.0,459924.0,57440.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-03,2875000,336276,146173418,115100,-1900,-1.62,2549000,295493,0.0,622284748.0,0.0,0.0,0.0,0.0,4821.0,562.0,326000.0,40783.0,326000.0,40783.0,326000.0,40783.0,330821.0,41344.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-04,2930000,340949,144776452,114000,-1100,-0.96,2359500,270720,2.0,622284748.0,0.0,0.0,8440.0,966.0,15.0,0.0,570500.0,70229.0,570500.0,70229.0,578940.0,71195.0,570515.0,70229.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-05,2840844,322836,144395461,113700,-300,-0.26,2759000,312859,1.0,622284748.0,0.0,0.0,0.0,0.0,800.0,91.0,81800.0,9971.0,81800.0,9971.0,81800.0,9971.0,82600.0,10062.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-08,1952000,220502,142998495,112600,-1100,-0.97,1952000,220502,2.0,622284748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
