Date,Total Volume_lag1,Total Value_lag1,Market Cap_lag1,Closing Price_lag1,Price Change_lag1,Price Change %_lag1,Matched Volume_lag1,Matched Value_lag1,sentiment_score_lag1,Foreign Investor Room_lag1,Remaining Room Shares_lag1,Remaining Room %_lag1,Matched Buy Volume_lag1,Matched Buy Value_lag1,Matched Sell Volume_lag1,Matched Sell Value_lag1,Negotiated Buy Volume_lag1,Negotiated Buy Value_lag1,Negotiated Sell Volume_lag1,Negotiated Sell Value_lag1,Total Buy Volume_lag1,Total Buy Value_lag1,Total Sell Volume_lag1,Total Sell Value_lag1,EPS,P/E,P/B,P/S,Loi nhuan,GT_Khop,KL_Khop,KL_Ban,KL_Mua,Closing Price,MA5,MA10,STD5,STD10
2024-03-27,3110290.0,365684.0,146046421.0,115000.0,1000.0,0.88,1693300.0,193338.0,1.0,622284748.0,0.0,0.0,0.0,0.0,6200.0,707.0,1390790.0,169537.0,1390790.0,169537.0,1390790.0,169537.0,1396990.0,170244.0,5476,4.08,17.55,8.31,1728400000000.0,5008978,48078100,71546400,67035400,115200,,,,
2024-03-28,1467800.0,168909.0,146300414.0,115200.0,200.0,0.17,1320200.0,151372.0,1.0,622284748.0,0.0,0.0,0.0,0.0,1700.0,194.0,40000.0,4920.0,40000.0,4920.0,40000.0,4920.0,41700.0,5114.0,5476,4.08,17.55,8.31,1728400000000.0,5008978,48078100,71546400,67035400,117100,,,,
2024-03-29,2854400.0,333719.0,148713355.0,117100.0,1900.0,1.65,2803200.0,327411.0,2.0,622284748.0,0.0,0.0,0.0,0.0,0.0,0.0,51200.0,6308.0,51200.0,6308.0,51200.0,6308.0,51200.0,6308.0,5476,4.08,17.55,8.31,1728400000000.0,5008978,48078100,71546400,67035400,116500,,,,
2024-04-01,2594300.0,310422.0,147951374.0,116500.0,-600.0,-0.51,1343500.0,156545.0,1.0,622284748.0,0.0,0.0,0.0,0.0,200.0,23.0,924600.0,115760.0,924600.0,115760.0,924600.0,115760.0,924800.0,115783.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700,116800,116120.0,,957.6011695899274,
2024-04-02,3243600.0,387065.0,148332365.0,116800.0,300.0,0.26,1974600.0,229434.0,2.0,622284748.0,0.0,0.0,1700.0,197.0,8440.0,972.0,799000.0,99555.0,799000.0,99555.0,800700.0,99753.0,807440.0,100527.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700,117000,116520.0,,772.6577508832723,
2024-04-03,2745500.0,322787.0,148586358.0,117000.0,200.0,0.17,2285800.0,265370.0,2.0,622284748.0,0.0,0.0,0.0,0.0,224.0,23.0,459700.0,57417.0,459700.0,57417.0,459700.0,57417.0,459924.0,57440.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700,115100,116500.0,,815.4753215150026,
2024-04-04,2875000.0,336276.0,146173418.0,115100.0,-1900.0,-1.62,2549000.0,295493.0,0.0,622284748.0,0.0,0.0,0.0,0.0,4821.0,562.0,326000.0,40783.0,326000.0,40783.0,326000.0,40783.0,330821.0,41344.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700,114000,115880.0,,1287.2451204024806,
2024-04-05,2930000.0,340949.0,144776452.0,114000.0,-1100.0,-0.96,2359500.0,270720.0,2.0,622284748.0,0.0,0.0,8440.0,966.0,15.0,0.0,570500.0,70229.0,570500.0,70229.0,578940.0,71195.0,570515.0,70229.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700,113700,115320.0,,1535.2524222420222,
2024-04-08,2840844.0,322836.0,144395461.0,113700.0,-300.0,-0.26,2759000.0,312859.0,1.0,622284748.0,0.0,0.0,0.0,0.0,800.0,91.0,81800.0,9971.0,81800.0,9971.0,81800.0,9971.0,82600.0,10062.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700,112600,114480.0,115300.0,1666.433316997712,1545.603082582617
2024-04-09,1952000.0,220502.0,142998495.0,112600.0,-1100.0,-0.97,1952000.0,220502.0,2.0,622284748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700,113000,113680.0,115100.0,967.9876032264033,1709.4508539944106
