Date,EPS
26/3/2024,5476
27/3/2024,5476
28/3/2024,5476
29/3/2024,5476
30/3/2024,5476
31/3/2024,5476
1/4/2024,5541
2/4/2024,5541
3/4/2024,5541
4/4/2024,5541
5/4/2024,5541
6/4/2024,5541
7/4/2024,5541
8/4/2024,5541
9/4/2024,5541
10/4/2024,5541
11/4/2024,5541
12/4/2024,5541
13/4/2024,5541
14/4/2024,5541
15/4/2024,5541
16/4/2024,5541
17/4/2024,5541
18/4/2024,5541
19/4/2024,5541
20/4/2024,5541
21/4/2024,5541
22/4/2024,5541
23/4/2024,5541
24/4/2024,5541
25/4/2024,5541
26/4/2024,5541
27/4/2024,5541
28/4/2024,5541
29/4/2024,5541
30/4/2024,5541
1/5/2024,5541
2/5/2024,5541
3/5/2024,5541
4/5/2024,5541
5/5/2024,5541
6/5/2024,5541
7/5/2024,5541
8/5/2024,5541
9/5/2024,5541
10/5/2024,5541
11/5/2024,5541
12/5/2024,5541
13/5/2024,5541
14/5/2024,5541
15/5/2024,5541
16/5/2024,5541
17/5/2024,5541
18/5/2024,5541
19/5/2024,5541
20/5/2024,5541
21/5/2024,5541
22/5/2024,5541
23/5/2024,5541
24/5/2024,5541
25/5/2024,5541
26/5/2024,5541
27/5/2024,5541
28/5/2024,5541
29/5/2024,5541
30/5/2024,5541
31/5/2024,5541
1/6/2024,5541
2/6/2024,5541
3/6/2024,5541
4/6/2024,5541
5/6/2024,5541
6/6/2024,5541
7/6/2024,5541
8/6/2024,5541
9/6/2024,5541
10/6/2024,5541
11/6/2024,5541
12/6/2024,5541
13/6/2024,5541
14/6/2024,5541
15/6/2024,5541
16/6/2024,5541
17/6/2024,5541
18/6/2024,5541
19/6/2024,5541
20/6/2024,5541
21/6/2024,5541
22/6/2024,5541
23/6/2024,5541
24/6/2024,5541
25/6/2024,5541
26/6/2024,5541
27/6/2024,5541
28/6/2024,5541
29/6/2024,5541
30/6/2024,5541
1/7/2024,5618
2/7/2024,5618
3/7/2024,5618
4/7/2024,5618
5/7/2024,5618
6/7/2024,5618
7/7/2024,5618
8/7/2024,5618
9/7/2024,5618
10/7/2024,5618
11/7/2024,5618
12/7/2024,5618
13/7/2024,5618
14/7/2024,5618
15/7/2024,5618
16/7/2024,5618
17/7/2024,5618
18/7/2024,5618
19/7/2024,5618
20/7/2024,5618
21/7/2024,5618
22/7/2024,5618
23/7/2024,5618
24/7/2024,5618
25/7/2024,5618
26/7/2024,5618
27/7/2024,5618
28/7/2024,5618
29/7/2024,5618
30/7/2024,5618
31/7/2024,5618
1/8/2024,5618
2/8/2024,5618
3/8/2024,5618
4/8/2024,5618
5/8/2024,5618
6/8/2024,5618
7/8/2024,5618
8/8/2024,5618
9/8/2024,5618
10/8/2024,5618
11/8/2024,5618
12/8/2024,5618
13/8/2024,5618
14/8/2024,5618
15/8/2024,5618
16/8/2024,5618
17/8/2024,5618
18/8/2024,5618
19/8/2024,5618
20/8/2024,5618
21/8/2024,5618
22/8/2024,5618
23/8/2024,5618
24/8/2024,5618
25/8/2024,5618
26/8/2024,5618
27/8/2024,5618
28/8/2024,5618
29/8/2024,5618
30/8/2024,5618
31/8/2024,5618
1/9/2024,5618
2/9/2024,5618
3/9/2024,5618
4/9/2024,5618
5/9/2024,5618
6/9/2024,5618
7/9/2024,5618
8/9/2024,5618
9/9/2024,5618
10/9/2024,5618
11/9/2024,5618
12/9/2024,5618
13/9/2024,5618
14/9/2024,5618
15/9/2024,5618
16/9/2024,5618
17/9/2024,5618
18/9/2024,5618
19/9/2024,5618
20/9/2024,5618
21/9/2024,5618
22/9/2024,5618
23/9/2024,5618
24/9/2024,5618
25/9/2024,5618
26/9/2024,5618
27/9/2024,5618
28/9/2024,5618
29/9/2024,5618
30/9/2024,5618
1/10/2024,5652
2/10/2024,5652
3/10/2024,5652
4/10/2024,5652
5/10/2024,5652
6/10/2024,5652
7/10/2024,5652
8/10/2024,5652
9/10/2024,5652
10/10/2024,5652
11/10/2024,5652
12/10/2024,5652
13/10/2024,5652
14/10/2024,5652
15/10/2024,5652
16/10/2024,5652
17/10/2024,5652
18/10/2024,5652
19/10/2024,5652
20/10/2024,5652
21/10/2024,5652
22/10/2024,5652
23/10/2024,5652
24/10/2024,5652
25/10/2024,5652
26/10/2024,5652
27/10/2024,5652
28/10/2024,5652
29/10/2024,5652
30/10/2024,5652
31/10/2024,5652
1/11/2024,5652
2/11/2024,5652
3/11/2024,5652
4/11/2024,5652
5/11/2024,5652
6/11/2024,5652
7/11/2024,5652
8/11/2024,5652
9/11/2024,5652
10/11/2024,5652
11/11/2024,5652
12/11/2024,5652
13/11/2024,5652
14/11/2024,5652
15/11/2024,5652
16/11/2024,5652
17/11/2024,5652
18/11/2024,5652
19/11/2024,5652
20/11/2024,5652
21/11/2024,5652
