StockID,Date,Total Volume,Total Value,Market Cap,Closing Price,Price Change,Price Change %,Matched Volume,Matched Value,sentiment,sentiment_score
FPT,2025-03-12,6365000,870067,199918302,135900,-1600,-1.16,6185000,844877,negative,0.0
FPT,2025-03-11,6164400,849430,202272013,137500,-1800,-1.29,5784400,797080,neutral,1.0
FPT,2025-03-10,5681900,796168,204919937,139300,-2100,-1.49,5323000,745248,neutral,1.0
FPT,2025-03-07,3436000,486821,208009182,141400,-200,-0.14,2954500,418579,negative,0.0
FPT,2025-03-06,6511400,921080,208303396,141600,2500,1.8,6417100,907741,positive,2.0
FPT,2025-03-05,2851100,398057,204625723,139100,-900,-0.64,2851100,398057,neutral,0.0
FPT,2025-03-04,4024595,561630,205949686,140000,-500,-0.36,3471300,485622,neutral,0.0
FPT,2025-03-03,2933900,412898,206685220,140500,200,0.14,2533900,356622,neutral,1.0
FPT,2025-02-28,6943200,970677,206391006,140300,-1000,-0.71,4694400,655863,positive,2.0
FPT,2025-02-27,3921700,553708,207862076,141300,-500,-0.35,3421700,483088,neutral,0.0
FPT,2025-02-26,3739800,524682,208597610,141800,2800,2.01,3323400,466222,positive,2.0
FPT,2025-02-25,7334400,1018328,204478616,139000,-1500,-1.07,6810400,945360,neutral,1.0
FPT,2025-02-24,7517901,1055207,206685220,140500,-1500,-1.06,7497900,1052387,negative,0.0
FPT,2025-02-21,5332600,756982,208891824,142000,-1000,-0.7,5312600,754130,positive,2.0
FPT,2025-02-20,3385400,485313,210362893,143000,-1000,-0.69,3385400,485313,positive,2.0
FPT,2025-02-19,3469801,498207,211833962,144000,100,0.07,3029800,435016,positive,2.0
FPT,2025-02-18,1664400,239297,211686855,143900,300,0.21,1664400,239297,positive,2.0
FPT,2025-02-17,2816300,401807,211245535,143600,-1300,-0.9,2466300,354627,neutral,1.0
FPT,2025-02-14,3251709,470242,213157925,144900,1800,1.26,3251700,470241,neutral,1.0
FPT,2025-02-13,3248100,465945,210510000,143100,-1900,-1.31,2850800,409131,positive,2.0
FPT,2025-02-12,2035451,293775,213305032,145000,-400,-0.28,1887400,273640,neutral,1.0
FPT,2025-02-11,7361400,1028164,213893459,145400,3400,2.39,5361400,763964,positive,2.0
FPT,2025-02-10,7749600,1110284,208891824,142000,-4100,-2.81,7749600,1110284,negative,0.0
FPT,2025-02-07,4365900,637557,214923208,146100,-400,-0.27,3865900,564532,neutral,1.0
FPT,2025-02-06,3724601,544308,215511635,146500,200,0.14,3426600,500993,neutral,1.0
FPT,2025-02-05,5344100,783416,215217421,146300,100,0.07,5204100,762696,positive,2.0
FPT,2025-02-04,7250700,1064371,215070315,146200,700,0.48,5467700,798580,neutral,1.0
FPT,2025-02-03,12863200,1890881,214040566,145500,-7900,-5.15,12747700,1873902,negative,0.0
FPT,2025-01-24,3950706,607610,225662013,153400,-900,-0.58,3655700,561884,positive,2.0
FPT,2025-01-23,8459101,1299117,226985975,154300,4600,3.07,7057800,1086532,positive,2.0
FPT,2025-01-22,4066602,609376,220219057,149700,-200,-0.13,2785600,417226,neutral,1.0
FPT,2025-01-21,3475801,522390,220513271,149900,-100,-0.07,2480300,372370,positive,2.0
FPT,2025-01-20,2297711,343045,220660377,150000,1000,0.67,2217700,331955,negative,0.0
FPT,2025-01-17,3900004,578062,219189308,149000,2500,1.71,3537000,524314,positive,2.0
FPT,2025-01-16,3856703,563585,215511635,146500,1000,0.69,3568000,521397,positive,2.0
FPT,2025-01-15,3329903,484993,214040566,145500,400,0.28,2840900,412809,negative,0.0
FPT,2025-01-14,4304503,633194,213452138,145100,-2500,-1.69,2897200,422427,neutral,1.0
FPT,2025-01-13,5156707,755429,217129811,147600,300,0.2,3488800,511097,neutral,1.0
FPT,2025-01-10,2737703,405427,216688491,147300,-1500,-1.01,2524700,373943,neutral,1.0
FPT,2025-01-09,1964401,291101,218895094,148800,500,0.34,1714400,254511,positive,2.0
FPT,2025-01-08,3879902,576711,218159560,148300,-1800,-1.2,3879900,576711,negative,0.0
FPT,2025-01-07,4053304,610786,220807484,150100,800,0.54,3453300,519867,neutral,1.0
FPT,2025-01-06,3467104,517719,219630629,149300,300,0.2,3467100,517718,positive,2.0
FPT,2025-01-03,6446104,968671,219189308,149000,-3000,-1.97,4336100,651136,negative,0.0
FPT,2025-01-02,6190801,930773,223602516,152000,-500,-0.33,3172800,479017,negative,0.0
FPT,2024-12-31,4803202,732417,224338050,152500,2000,1.33,3603200,548817,neutral,1.0
FPT,2024-12-30,3458409,519810,221395912,150500,900,0.6,1982400,296877,positive,2.0
FPT,2024-12-27,4611705,690788,220071950,149600,-200,-0.13,2561700,382262,positive,2.0
FPT,2024-12-26,2820057,422649,220366164,149800,-1000,-0.66,2233300,334764,neutral,1.0
